Metric,Value
Overall Accuracy,0.6222
""
Macro Averaged Metrics,
Precision (Macro),0.6003
Recall (Macro),0.4646
F1-Score (Macro),0.4352
""
Weighted Averaged Metrics,
Precision (Weighted),0.6346
Recall (Weighted),0.6222
F1-Score (Weighted),0.5439
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8814,0.3688,0.5200,141
Enrolled,0.3333,0.0250,0.0465,80
Graduate,0.5862,1.0000,0.7391,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,52,4,85
Enrolled,7,2,71
Graduate,0,0,221
