Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4,Group2_Hard_Class4,Group2_Soft_Class4,Group2_Limit_Class4
51,0.9984,0.008057,0.185190,0.528550,0.000000,0.05,0.00,0,0,inf,65,64.84,inf,101,100.92,inf,221,217.39,inf,12,12.49,67,152,154.01,inf,1424,1424.31,inf,28,29.03,64,65.27,29,64,65.21,26,24,23.53,12
55,1.0000,0.000000,0.276228,0.774859,0.000000,0.06,0.00,0,0,inf,68,68.86,inf,102,99.47,inf,217,217.56,inf,14,12.92,67,155,161.72,inf,1417,1412.54,inf,30,29.92,66,70.08,29,67,68.38,26,22,23.26,12
60,1.0000,0.000000,0.076823,0.228107,0.000000,0.07,0.00,0,0,inf,67,68.70,inf,100,99.32,inf,241,233.71,inf,10,11.63,67,91,90.64,inf,1464,1469.34,inf,30,29.67,42,41.64,29,39,38.50,26,10,10.50,12
63,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,63,65.64,inf,106,99.50,inf,233,236.33,inf,10,10.97,67,54,54.01,inf,1508,1507.21,inf,29,29.35,25,25.86,29,24,22.78,26,5,5.36,12
64,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,65,64.61,inf,103,99.16,inf,234,235.66,inf,9,10.89,67,48,47.82,inf,1514,1515.58,inf,30,29.28,23,22.89,29,20,20.37,26,5,4.55,12
65,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,0,inf,65,67.55,inf,106,100.61,inf,234,233.24,inf,10,11.21,67,61,60.25,inf,1498,1500.72,inf,29,29.43,30,28.55,29,26,25.39,26,5,6.30,12
70,1.0000,0.000000,0.000000,0.002109,0.000000,0.07,0.00,1,0,inf,68,71.47,inf,108,103.39,inf,212,214.81,inf,10,11.53,67,63,63.42,inf,1513,1509.03,inf,29,29.35,30,29.30,29,26,26.41,26,7,7.71,12
71,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,67,70.62,inf,109,103.55,inf,207,209.42,inf,10,11.33,67,57,58.00,inf,1524,1520.94,inf,29,29.13,27,26.85,29,24,24.25,26,6,6.90,12
72,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,68,70.46,inf,108,103.72,inf,203,205.35,inf,10,11.27,67,56,55.37,inf,1530,1527.80,inf,28,29.02,27,25.54,29,23,23.20,26,6,6.63,12
73,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,68,70.80,inf,108,104.02,inf,201,202.53,inf,10,11.28,67,56,54.65,inf,1532,1530.77,inf,28,28.96,27,25.09,29,23,22.85,26,6,6.71,12
74,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,69,71.51,inf,109,104.46,inf,196,200.79,inf,10,11.33,67,56,55.39,inf,1535,1530.58,inf,28,28.94,27,25.31,29,23,23.00,26,6,7.08,12
