exp_category,exp_path,model_name,constraint_local,constraint_global,learning_rate,batch_size,epochs,warmup_epochs,lambda_global_init,lambda_local_init,lambda_step,lambda_strategy,constraint_threshold,convergence_window,convergence_required,hidden_dims,dropout,status,used_cached_model,training_time,accuracy,precision_macro,recall_macro,f1_macro,precision_dropout,recall_dropout,f1_dropout,precision_enrolled,recall_enrolled,f1_enrolled,precision_graduate,recall_graduate,f1_graduate
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_linear,BasicNN,0.5,0.3,0.0005,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6267,0.7295,0.4937,0.4945,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_transfer,BasicNN,0.5,0.3,0.0005,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6267,0.7295,0.4937,0.4945,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_balanced,BasicNN,0.5,0.3,0.001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6244,0.7354,0.493,0.4959,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_combined,BasicNN,0.5,0.3,0.001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.001001596450805664,0.6244,0.7354,0.493,0.4959,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_linear,BasicNN,0.5,0.3,0.001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0015027523040771484,0.6244,0.7354,0.493,0.4959,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_transfer,BasicNN,0.5,0.3,0.001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0010004043579101562,0.6244,0.7354,0.493,0.4959,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_balanced,BasicNN,0.8,0.2,5e-05,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0010013580322265625,0.5747,0.6915,0.4302,0.4038,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_combined,BasicNN,0.8,0.2,5e-05,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0009996891021728516,0.5747,0.6915,0.4302,0.4038,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_linear,BasicNN,0.8,0.2,5e-05,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0005030632019042969,0.5747,0.6915,0.4302,0.4038,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_transfer,BasicNN,0.8,0.2,5e-05,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0009989738464355469,0.5747,0.6915,0.4302,0.4038,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_balanced,BasicNN,0.8,0.2,0.0001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0009987354278564453,0.5724,0.6707,0.4259,0.3968,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_combined,BasicNN,0.8,0.2,0.0001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.001001596450805664,0.5724,0.6707,0.4259,0.3968,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_linear,BasicNN,0.8,0.2,0.0001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0009996891021728516,0.5724,0.6707,0.4259,0.3968,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_transfer,BasicNN,0.8,0.2,0.0001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0010006427764892578,0.5724,0.6707,0.4259,0.3968,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_balanced,BasicNN,0.8,0.2,0.0005,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0,0.5837,0.7149,0.4389,0.4141,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_combined,BasicNN,0.8,0.2,0.0005,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.00099945068359375,0.5837,0.7149,0.4389,0.4141,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_linear,BasicNN,0.8,0.2,0.0005,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0009996891021728516,0.5837,0.7149,0.4389,0.4141,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_transfer,BasicNN,0.8,0.2,0.0005,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0015034675598144531,0.5837,0.7149,0.4389,0.4141,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_balanced,BasicNN,0.8,0.2,0.001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0009999275207519531,0.5814,0.7451,0.4409,0.4218,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_combined,BasicNN,0.8,0.2,0.001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0,0.5814,0.7451,0.4409,0.4218,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_linear,BasicNN,0.8,0.2,0.001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0009989738464355469,0.5814,0.7451,0.4409,0.4218,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_transfer,BasicNN,0.8,0.2,0.001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0,0.5814,0.7451,0.4409,0.4218,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_balanced,BasicNN,0.9,0.8,5e-05,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0009992122650146484,0.7398,0.6987,0.6597,0.672,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_combined,BasicNN,0.9,0.8,5e-05,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0009999275207519531,0.7398,0.6987,0.6597,0.672,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_linear,BasicNN,0.9,0.8,5e-05,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0,0.7398,0.6987,0.6597,0.672,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_transfer,BasicNN,0.9,0.8,5e-05,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0009999275207519531,0.7398,0.6987,0.6597,0.672,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_balanced,BasicNN,0.9,0.8,0.0001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0010001659393310547,0.7489,0.7077,0.6684,0.6808,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_combined,BasicNN,0.9,0.8,0.0001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0010039806365966797,0.7489,0.7077,0.6684,0.6808,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_linear,BasicNN,0.9,0.8,0.0001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0009989738464355469,0.7489,0.7077,0.6684,0.6808,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_transfer,BasicNN,0.9,0.8,0.0001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0010025501251220703,0.7489,0.7077,0.6684,0.6808,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_balanced,BasicNN,0.9,0.8,0.0005,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0,0.7579,0.7144,0.6753,0.6875,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_combined,BasicNN,0.9,0.8,0.0005,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0010004043579101562,0.7579,0.7144,0.6753,0.6875,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_linear,BasicNN,0.9,0.8,0.0005,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.001001119613647461,0.7579,0.7144,0.6753,0.6875,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0005_lambda_transfer,BasicNN,0.9,0.8,0.0005,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0009989738464355469,0.7579,0.7144,0.6753,0.6875,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_balanced,BasicNN,0.9,0.8,0.001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0,0.7624,0.7307,0.6873,0.7015,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_combined,BasicNN,0.9,0.8,0.001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0,0.7624,0.7307,0.6873,0.7015,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_linear,BasicNN,0.9,0.8,0.001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0009999275207519531,0.7624,0.7307,0.6873,0.7015,,,,,,,,,
heuristic,results/heuristic/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.001_lambda_transfer,BasicNN,0.9,0.8,0.001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.001504659652709961,0.7624,0.7307,0.6873,0.7015,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_balanced,FTTransformer,0.5,0.3,5e-05,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0010001659393310547,0.6131,0.6981,0.4792,0.4771,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_combined,FTTransformer,0.5,0.3,5e-05,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0010004043579101562,0.6131,0.6981,0.4792,0.4771,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_linear,FTTransformer,0.5,0.3,5e-05,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0010063648223876953,0.6131,0.6981,0.4792,0.4771,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_transfer,FTTransformer,0.5,0.3,5e-05,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.001001119613647461,0.6131,0.6981,0.4792,0.4771,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_balanced,FTTransformer,0.5,0.3,0.0001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6063,0.6756,0.4712,0.4659,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_combined,FTTransformer,0.5,0.3,0.0001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0010013580322265625,0.6063,0.6756,0.4712,0.4659,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_linear,FTTransformer,0.5,0.3,0.0001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.00099945068359375,0.6063,0.6756,0.4712,0.4659,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_transfer,FTTransformer,0.5,0.3,0.0001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.001035928726196289,0.6063,0.6756,0.4712,0.4659,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_balanced,FTTransformer,0.5,0.3,0.0005,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0010004043579101562,0.6109,0.7095,0.4815,0.4817,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_combined,FTTransformer,0.5,0.3,0.0005,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0009982585906982422,0.6109,0.7095,0.4815,0.4817,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_linear,FTTransformer,0.5,0.3,0.0005,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6109,0.7095,0.4815,0.4817,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_transfer,FTTransformer,0.5,0.3,0.0005,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0009996891021728516,0.6109,0.7095,0.4815,0.4817,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_balanced,FTTransformer,0.5,0.3,0.001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6063,0.7085,0.4774,0.4791,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_combined,FTTransformer,0.5,0.3,0.001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0010008811950683594,0.6063,0.7085,0.4774,0.4791,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_linear,FTTransformer,0.5,0.3,0.001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6063,0.7085,0.4774,0.4791,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_transfer,FTTransformer,0.5,0.3,0.001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0,0.6063,0.7085,0.4774,0.4791,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_balanced,FTTransformer,0.8,0.2,5e-05,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.001001119613647461,0.5747,0.7026,0.431,0.4067,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_combined,FTTransformer,0.8,0.2,5e-05,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0010004043579101562,0.5747,0.7026,0.431,0.4067,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_linear,FTTransformer,0.8,0.2,5e-05,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0010001659393310547,0.5747,0.7026,0.431,0.4067,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_transfer,FTTransformer,0.8,0.2,5e-05,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0010001659393310547,0.5747,0.7026,0.431,0.4067,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_balanced,FTTransformer,0.8,0.2,0.0001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.001508951187133789,0.5747,0.6826,0.4283,0.4007,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_combined,FTTransformer,0.8,0.2,0.0001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0009987354278564453,0.5747,0.6826,0.4283,0.4007,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_linear,FTTransformer,0.8,0.2,0.0001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0010001659393310547,0.5747,0.6826,0.4283,0.4007,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_transfer,FTTransformer,0.8,0.2,0.0001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0009984970092773438,0.5747,0.6826,0.4283,0.4007,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_balanced,FTTransformer,0.8,0.2,0.0005,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0010004043579101562,0.5701,0.6988,0.429,0.4048,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_combined,FTTransformer,0.8,0.2,0.0005,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0,0.5701,0.6988,0.429,0.4048,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_linear,FTTransformer,0.8,0.2,0.0005,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0009989738464355469,0.5701,0.6988,0.429,0.4048,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_transfer,FTTransformer,0.8,0.2,0.0005,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.001481771469116211,0.5701,0.6988,0.429,0.4048,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_balanced,FTTransformer,0.8,0.2,0.001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0010056495666503906,0.5724,0.7107,0.4314,0.4087,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_combined,FTTransformer,0.8,0.2,0.001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0009999275207519531,0.5724,0.7107,0.4314,0.4087,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_linear,FTTransformer,0.8,0.2,0.001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0010006427764892578,0.5724,0.7107,0.4314,0.4087,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_transfer,FTTransformer,0.8,0.2,0.001,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0010006427764892578,0.5724,0.7107,0.4314,0.4087,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_balanced,FTTransformer,0.9,0.8,5e-05,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0010006427764892578,0.7466,0.7065,0.6669,0.6794,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_combined,FTTransformer,0.9,0.8,5e-05,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0,0.7466,0.7065,0.6669,0.6794,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_linear,FTTransformer,0.9,0.8,5e-05,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0010004043579101562,0.7466,0.7065,0.6669,0.6794,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_transfer,FTTransformer,0.9,0.8,5e-05,64,1000,50,0.1,0.1,0.005,transfer,0.02,,,"[128, 64]",0.3,completed,,0.0010008811950683594,0.7466,0.7065,0.6669,0.6794,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_balanced,FTTransformer,0.9,0.8,0.0001,64,1000,50,0.1,0.1,0.005,balanced,0.02,,,"[128, 64]",0.3,completed,,0.0,0.7579,0.7194,0.6778,0.6912,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_combined,FTTransformer,0.9,0.8,0.0001,64,1000,50,0.1,0.1,0.005,combined,0.02,,,"[128, 64]",0.3,completed,,0.0017828941345214844,0.7579,0.7194,0.6778,0.6912,,,,,,,,,
heuristic,results/heuristic/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_linear,FTTransformer,0.9,0.8,0.0001,64,1000,50,0.1,0.1,0.005,linear,0.02,,,"[128, 64]",0.3,completed,,0.0,0.7579,0.7194,0.6778,0.6912,,,,,,,,,
