Constraint,External Baseline,Heuristic,Our Approach,Δ vs External,Δ vs Heuristic,F1-Score,Model
"[0.5, 0.3]",0.5801,0.6267,0.7127,+13.26%,+8.60%,0.5590,TabularResNet
"[0.8, 0.2]",0.5304,0.5882,0.6742,+14.38%,+8.60%,0.4801,BasicNN
