Metric,Value
Overall Accuracy,0.6041
""
Macro Averaged Metrics,
Precision (Macro),0.6302
Recall (Macro),0.4582
F1-Score (Macro),0.4415
""
Weighted Averaged Metrics,
Precision (Weighted),0.6554
Recall (Weighted),0.6041
F1-Score (Weighted),0.5330
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9302,0.2837,0.4348,141
Enrolled,0.3810,0.1000,0.1584,80
Graduate,0.5794,0.9910,0.7312,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,40,12,89
Enrolled,2,8,70
Graduate,1,1,219
