Metric,Value
Overall Accuracy,0.5633
""
Macro Averaged Metrics,
Precision (Macro),0.6814
Recall (Macro),0.4139
F1-Score (Macro),0.3734
""
Weighted Averaged Metrics,
Precision (Weighted),0.6817
Recall (Weighted),0.5633
F1-Score (Weighted),0.4619
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,1.0000,0.1418,0.2484,141
Enrolled,0.5000,0.1000,0.1667,80
Graduate,0.5443,1.0000,0.7049,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,20,8,113
Enrolled,0,8,72
Graduate,0,0,221
