Metric,Value
Overall Accuracy,0.7240
""
Macro Averaged Metrics,
Precision (Macro),0.6688
Recall (Macro),0.6224
F1-Score (Macro),0.6331
""
Weighted Averaged Metrics,
Precision (Weighted),0.7134
Recall (Weighted),0.7240
F1-Score (Weighted),0.7069
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8559,0.6738,0.7540,141
Enrolled,0.4231,0.2750,0.3333,80
Graduate,0.7276,0.9186,0.8120,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,95,15,31
Enrolled,13,22,45
Graduate,3,15,203
