Metric,Value
Overall Accuracy,0.5362
""
Macro Averaged Metrics,
Precision (Macro),0.5476
Recall (Macro),0.3801
F1-Score (Macro),0.3182
""
Weighted Averaged Metrics,
Precision (Weighted),0.5594
Recall (Weighted),0.5362
F1-Score (Weighted),0.4174
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.6667,0.0986,0.1718,142
Enrolled,0.4444,0.0506,0.0909,79
Graduate,0.5316,0.9910,0.6919,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,14,4,124
Enrolled,6,4,69
Graduate,1,1,219
