Metric,Value
Overall Accuracy,0.5905
""
Macro Averaged Metrics,
Precision (Macro),0.5892
Recall (Macro),0.4475
F1-Score (Macro),0.4272
""
Weighted Averaged Metrics,
Precision (Weighted),0.6169
Recall (Weighted),0.5905
F1-Score (Weighted),0.5168
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8140,0.2482,0.3804,141
Enrolled,0.3750,0.1125,0.1731,80
Graduate,0.5787,0.9819,0.7282,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,35,12,94
Enrolled,7,9,64
Graduate,1,3,217
