dataset,seed,method,policy,accuracy,macro_f1,cc_f1,raw_feasible,task_updates,constraint_updates,joint_constraint_updates
cifar,1002,alm_0.05,raw,0.6085,0.5974127458466758,0.3713596893302776,True,800,0,600
cifar,1002,alm_0.05,upper_bound_correction,0.6085,0.5974127458466758,0.3713596893302776,True,800,0,600
cifar,1002,alm_0.05,capped_first,0.6175,0.6114207848190326,0.49999550291275396,True,800,0,600
cifar,1002,alm_0.15,raw,0.606,0.5933409986890275,0.35357722179781004,True,800,0,600
cifar,1002,alm_0.15,upper_bound_correction,0.606,0.5933409986890275,0.35357722179781004,True,800,0,600
cifar,1002,alm_0.15,capped_first,0.616,0.6101606214952708,0.5049572581462483,True,800,0,600
cifar,1002,alm_0.5,raw,0.605,0.5918032316368905,0.34411193708252535,True,800,0,600
cifar,1002,alm_0.5,upper_bound_correction,0.605,0.5918032316368905,0.34411193708252535,True,800,0,600
cifar,1002,alm_0.5,capped_first,0.6175,0.6128521302390056,0.5216078217533336,True,800,0,600
cifar,1002,alm_1.5,raw,0.608,0.5958189010048308,0.38839490968801316,True,800,0,600
cifar,1002,alm_1.5,upper_bound_correction,0.608,0.5958189010048308,0.38839490968801316,True,800,0,600
cifar,1002,alm_1.5,capped_first,0.619,0.6141376100970617,0.5419184549671927,True,800,0,600
cifar,1002,alm_5,raw,0.604,0.5966491831577531,0.46048031604252915,False,800,0,600
cifar,1002,alm_5,upper_bound_correction,0.6025,0.594984543705825,0.44831957230283803,False,800,0,600
cifar,1002,alm_5,capped_first,0.6075,0.6049051876753264,0.5363628994116372,False,800,0,600
cifar,1002,clipper,raw,0.637,0.6330127366451244,0.6143776905620298,False,800,0,0
cifar,1002,clipper,upper_bound_correction,0.6225,0.6167586953095947,0.5197804491493131,False,800,0,0
cifar,1002,clipper,capped_first,0.623,0.6175573131624235,0.5284761013232262,False,800,0,0
cifar,1002,tralo_0.0001,raw,0.6315,0.626804615078713,0.6032315716150268,False,800,15,0
cifar,1002,tralo_0.0001,upper_bound_correction,0.619,0.612354005754678,0.5110847969754,False,800,15,0
cifar,1002,tralo_0.0001,capped_first,0.619,0.612726950505701,0.5197804491493131,False,800,15,0
cifar,1002,tralo_0.0003,raw,0.6285,0.6236459037507158,0.586572656215708,False,800,15,0
cifar,1002,tralo_0.0003,upper_bound_correction,0.618,0.6111162192361266,0.5046331840721743,False,800,15,0
cifar,1002,tralo_0.0003,capped_first,0.62,0.6139632112214575,0.5284761013232262,False,800,15,0
cifar,1002,tralo_0.001,raw,0.625,0.6177627705075939,0.5462078341222407,False,800,15,0
cifar,1002,tralo_0.001,upper_bound_correction,0.617,0.6094454425786174,0.49139764718712087,False,800,15,0
cifar,1002,tralo_0.001,capped_first,0.6195,0.6132789528857863,0.5218094346565595,False,800,15,0
cifar,1002,tralo_0.003,raw,0.61,0.5944839048710747,0.36466365007541485,False,800,15,0
cifar,1002,tralo_0.003,upper_bound_correction,0.6065,0.5909403244722359,0.3386030440148088,False,800,15,0
cifar,1002,tralo_0.003,capped_first,0.6175,0.6117430582367157,0.5149656343344983,False,800,15,0
cifar,1002,tralo_0.01,raw,0.589,0.5624392791796023,0.08190045248868778,True,800,15,0
cifar,1002,tralo_0.01,upper_bound_correction,0.589,0.5624392791796023,0.08190045248868778,True,800,15,0
cifar,1002,tralo_0.01,capped_first,0.615,0.6098885774511352,0.49160210776444996,True,800,15,0
cifar,1002,tralo_1e-05,raw,0.633,0.6286023093318704,0.6093434963257305,False,800,15,0
cifar,1002,tralo_1e-05,upper_bound_correction,0.619,0.612354005754678,0.5110847969754,False,800,15,0
cifar,1002,tralo_1e-05,capped_first,0.619,0.612726950505701,0.5197804491493131,False,800,15,0
cifar,1002,tralo_3e-05,raw,0.6325,0.6280787911612935,0.6047089152205611,False,800,15,0
cifar,1002,tralo_3e-05,upper_bound_correction,0.619,0.612354005754678,0.5110847969754,False,800,15,0
cifar,1002,tralo_3e-05,capped_first,0.619,0.612726950505701,0.5197804491493131,False,800,15,0
cifar,1002,tralo_null,raw,0.634,0.6297516564559262,0.618228914243949,False,800,0,0
cifar,1002,tralo_null,upper_bound_correction,0.619,0.6128319090381597,0.5197804491493131,False,800,0,0
