Metric,Value
Overall Accuracy,0.5792
""
Macro Averaged Metrics,
Precision (Macro),0.5389
Recall (Macro),0.4179
F1-Score (Macro),0.3724
""
Weighted Averaged Metrics,
Precision (Weighted),0.5932
Recall (Weighted),0.5792
F1-Score (Weighted),0.4824
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8947,0.2411,0.3799,141
Enrolled,0.1667,0.0125,0.0233,80
Graduate,0.5553,1.0000,0.7141,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,34,5,102
Enrolled,4,1,75
Graduate,0,0,221
