Metric,Value
Overall Accuracy,0.5249
""
Macro Averaged Metrics,
Precision (Macro),0.6414
Recall (Macro),0.3637
F1-Score (Macro),0.2860
""
Weighted Averaged Metrics,
Precision (Weighted),0.6390
Recall (Weighted),0.5249
F1-Score (Weighted),0.3901
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9091,0.0704,0.1307,142
Enrolled,0.5000,0.0253,0.0482,79
Graduate,0.5152,0.9955,0.6790,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,10,2,130
Enrolled,0,2,77
Graduate,1,0,220
