Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Limit_Class7,Hard_Class7,Soft_Class7,Limit_Class8,Hard_Class8,Soft_Class8,Limit_Class9,Hard_Class9,Soft_Class9,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4
1,0.7965,0.564798,0.000000,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,,,,,,
2,0.9798,0.090836,0.000000,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,,,,,,
3,0.9950,0.057613,0.000000,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,,,,,,
10,0.9992,0.007742,0.000000,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,,,,,,
20,0.9973,0.007191,0.000000,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,,,,,,
30,0.9984,0.005721,0.000000,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,,,,,,
40,1.0000,0.000978,0.000000,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,,,,,,
50,0.9964,0.002361,0.000000,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,,,,,,
51,0.9984,0.007524,0.142303,0.279588,0.000000,0.05,0.05,0,0,inf,266,265.28,inf,267,266.92,inf,264,263.50,inf,223,223.59,111,216,215.95,inf,180,179.42,inf,232,231.93,inf,269,268.75,inf,215,216.34,inf,268,268.30,105,104.47,54,111,111.49,58
55,1.0000,0.000000,0.193200,0.379629,0.000000,0.06,0.06,0,0,inf,266,266.30,inf,267,266.92,inf,269,268.16,inf,222,221.80,111,217,217.15,inf,178,177.62,inf,228,229.35,inf,269,268.89,inf,216,215.92,inf,268,267.90,106,105.17,54,111,111.98,58
60,1.0000,0.000000,0.251117,0.492106,0.000000,0.07,0.07,0,0,inf,265,266.10,inf,267,266.91,inf,266,265.39,inf,223,223.63,111,211,211.56,inf,178,178.30,inf,234,233.37,inf,272,271.26,inf,216,215.51,inf,268,267.97,100,101.12,54,111,110.45,58
65,1.0000,0.000000,0.280122,0.546355,0.000000,0.08,0.08,0,0,inf,266,266.03,inf,267,266.83,inf,261,259.91,inf,223,225.45,111,200,197.66,inf,179,178.79,inf,243,243.87,inf,278,278.31,inf,215,214.85,inf,268,268.30,95,94.35,54,105,103.31,58
70,1.0000,0.000000,0.189488,0.365920,0.000000,0.09,0.09,0,0,inf,267,266.07,inf,266,266.53,inf,250,250.84,inf,230,230.58,111,164,165.09,inf,179,179.23,inf,264,263.05,inf,296,296.05,inf,215,213.83,inf,269,268.73,81,81.93,54,83,83.16,58
75,1.0000,0.000000,0.016679,0.032719,0.000000,0.10,0.10,0,0,inf,265,266.13,inf,266,266.07,inf,243,241.05,inf,235,234.02,111,125,121.06,inf,180,180.39,inf,282,283.14,inf,324,326.58,inf,211,212.44,inf,269,269.10,64,60.84,54,61,60.22,58
77,1.0000,0.000000,0.000000,0.000000,0.000000,0.00,0.00,1,1,inf,265,266.25,inf,265,265.93,inf,238,235.69,inf,236,233.91,111,103,99.28,inf,181,180.89,inf,289,293.06,inf,342,343.93,inf,211,211.79,inf,270,269.27,51,49.65,54,52,49.63,58
80,1.0000,0.000000,0.094878,0.182953,0.000000,0.03,0.03,0,0,inf,266,265.59,inf,267,266.87,inf,264,263.38,inf,222,223.69,111,197,197.00,inf,180,178.54,inf,241,242.05,inf,281,280.28,inf,215,214.56,inf,267,268.05,93,93.70,54,104,103.30,58
85,1.0000,0.000000,0.233895,0.449448,0.000000,0.06,0.06,0,0,inf,266,265.63,inf,267,266.77,inf,262,260.39,inf,224,224.63,111,188,184.65,inf,179,178.71,inf,247,249.66,inf,285,287.20,inf,215,214.17,inf,267,268.19,89,88.94,54,99,95.70,58
90,1.0000,0.000000,0.163579,0.312588,0.000000,0.08,0.08,0,0,inf,266,265.73,inf,266,266.44,inf,255,253.08,inf,227,227.78,111,157,155.18,inf,179,179.11,inf,262,265.00,inf,306,305.73,inf,214,213.35,inf,268,268.61,78,77.66,54,79,77.52,58
95,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.09,1,1,inf,267,265.93,inf,265,266.06,inf,245,243.90,inf,229,229.58,111,109,108.34,inf,180,179.82,inf,279,282.34,inf,345,342.69,inf,211,212.13,inf,270,269.20,52,53.01,54,57,55.33,58
96,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.09,1,1,inf,267,265.93,inf,265,266.06,inf,245,243.90,inf,229,229.58,111,109,108.34,inf,180,179.82,inf,279,282.34,inf,345,342.69,inf,211,212.13,inf,270,269.20,52,53.01,54,57,55.33,58
97,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.09,1,1,inf,267,265.93,inf,265,266.06,inf,245,243.90,inf,229,229.58,111,109,108.34,inf,180,179.82,inf,279,282.34,inf,345,342.69,inf,211,212.13,inf,270,269.20,52,53.01,54,57,55.33,58
98,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.09,1,1,inf,267,265.93,inf,265,266.06,inf,245,243.90,inf,229,229.58,111,109,108.34,inf,180,179.82,inf,279,282.34,inf,345,342.69,inf,211,212.13,inf,270,269.20,52,53.01,54,57,55.33,58
99,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.09,1,1,inf,267,265.93,inf,265,266.06,inf,245,243.90,inf,229,229.58,111,109,108.34,inf,180,179.82,inf,279,282.34,inf,345,342.69,inf,211,212.13,inf,270,269.20,52,53.01,54,57,55.33,58
100,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.09,1,1,inf,267,265.93,inf,265,266.06,inf,245,243.90,inf,229,229.58,111,109,108.34,inf,180,179.82,inf,279,282.34,inf,345,342.69,inf,211,212.13,inf,270,269.20,52,53.01,54,57,55.33,58
101,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.09,1,1,inf,267,265.93,inf,265,266.06,inf,245,243.90,inf,229,229.58,111,109,108.34,inf,180,179.82,inf,279,282.34,inf,345,342.69,inf,211,212.13,inf,270,269.20,52,53.01,54,57,55.33,58
102,1.0000,0.000000,0.000000,0.000000,0.000000,0.09,0.09,1,1,inf,267,265.93,inf,265,266.06,inf,245,243.90,inf,229,229.58,111,109,108.34,inf,180,179.82,inf,279,282.34,inf,345,342.69,inf,211,212.13,inf,270,269.20,52,53.01,54,57,55.33,58
103,1.0000,0.000000,0.000000,0.000000,0.000000,0.10,0.09,1,1,inf,267,265.93,inf,265,266.06,inf,245,243.90,inf,229,229.58,111,109,108.34,inf,180,179.82,inf,279,282.34,inf,345,342.69,inf,211,212.13,inf,270,269.20,52,53.01,54,57,55.33,58
