dataset,model,cls,tight,method,n,K,group_col,acc,f1m_mean,f1m_std,f1c_mean,f1c_std,final_count,raw_count,flips,raw_excess,sat_rate,sat_epoch
tissuemnist,MobileNetV3,4,L70_G70,tralo,2,120,synth_group,0.5056,0.37285,0.0010606601717798223,0.3331,0.022768838354206837,87.5,87.5,0.0,0.0,1.0,51.0
tissuemnist,MobileNetV3,4,L80_G80,fioretto_ldf,5,137,synth_group,0.50834,0.37808,0.014030217389620164,0.27516,0.040673676991390885,68.2,68.2,0.0,0.0,1.0,2.0
tissuemnist,MobileNetV3,4,L80_G80,hounie_rcl,5,137,synth_group,0.51172,0.37879999999999997,0.010771954325933624,0.31754,0.039062040397296195,95.6,95.6,0.0,0.0,1.0,243.0
tissuemnist,MobileNetV3,4,L80_G80,tralo,5,137,synth_group,0.50416,0.37354,0.013652215937348779,0.32378,0.030905857050080338,104,104,0.0,0.0,1.0,53.8
tissuemnist,MobileNetV3,14,L50_G50,fioretto_ldf,3,,synth_group,0.4977666666666667,0.3528,0.008250454532933302,,0.0,0,0,0.0,0.0,1.0,3.0
tissuemnist,MobileNetV3,14,L50_G50,hounie_rcl,3,,synth_group,0.5164,0.38756666666666667,0.009355390602926918,,0.0,0,0,44.0,38.333333333333336,0.0,
tissuemnist,MobileNetV3,14,L50_G50,tralo,3,,synth_group,0.5003,0.36436666666666667,0.010960991439342203,,0.0,0,0,0.0,0.0,1.0,61.0
tissuemnist,MobileNetV3,34,L50_G50,fioretto_ldf,2,,synth_group,0.4875,0.3415,0.004808326112068504,,0.0,0,0,22.0,16.5,0.5,5.5
tissuemnist,MobileNetV3,34,L50_G50,hounie_rcl,2,,synth_group,0.49105,0.36719999999999997,0.0072124891681028145,,0.0,0,0,115.0,228.0,0.0,
tissuemnist,ResNet18,4,L50_G50,fioretto_ldf,5,86,synth_group,0.56982,0.44248,0.013234689267224986,0.25608,0.03625750956698489,51.8,51.8,0.0,0.0,1.0,2.0
tissuemnist,ResNet18,4,L50_G50,tralo,5,86,synth_group,0.5303599999999999,0.4184,0.029893895697951447,0.32786,0.05813099861519669,60.6,58,3.8,0.6,0.8,53.5
