epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.008057,0.0,170,0,0.435047
1,0.002383,112.57547,232,0,1.030461
2,nan,266.505806,232,0,1.625875
3,nan,420.436146,232,0,2.221289
4,nan,574.366489,232,0,2.816703
5,nan,728.296776,232,0,3.412117
6,nan,882.227112,232,0,4.007531
7,nan,1036.157486,232,0,4.602946
8,nan,1190.087746,232,0,5.19836
9,nan,1344.018105,232,0,5.793774
10,nan,1461.039658,224,0,6.364955
11,nan,1527.330475,212,0,6.892654
12,nan,1544.906479,176,0,7.363572
13,nan,1520.321106,150,0,7.770492
14,nan,1458.954361,138,0,8.109937
15,nan,1361.45697,110,0,8.377299
16,nan,1406.903984,110,0,8.644661
17,nan,1267.559593,76,0,8.835081
18,nan,1092.659004,49,0,8.94649
19,nan,922.727898,11,0,8.98294
20,nan,219.928777,2,0,8.98294
21,nan,0.0,0,1,8.98294
22,nan,0.0,0,1,8.98294
23,nan,0.0,0,1,8.98294
24,nan,0.0,0,1,8.98294
25,nan,0.0,0,1,8.98294
