Metric,Value
Overall Accuracy,0.6878
""
Macro Averaged Metrics,
Precision (Macro),0.6572
Recall (Macro),0.5457
F1-Score (Macro),0.5415
""
Weighted Averaged Metrics,
Precision (Weighted),0.6864
Recall (Weighted),0.6878
F1-Score (Weighted),0.6385
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8764,0.5493,0.6753,142
Enrolled,0.4444,0.1013,0.1649,79
Graduate,0.6507,0.9864,0.7842,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,78,8,56
Enrolled,10,8,61
Graduate,1,2,218
