Metric,Value
Overall Accuracy,0.5136
""
Macro Averaged Metrics,
Precision (Macro),0.5023
Recall (Macro),0.3586
F1-Score (Macro),0.2713
""
Weighted Averaged Metrics,
Precision (Weighted),0.4322
Recall (Weighted),0.5136
F1-Score (Weighted),0.3616
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.0000,0.0000,0.0000,142
Enrolled,1.0000,0.0759,0.1412,79
Graduate,0.5069,1.0000,0.6728,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,0,0,142
Enrolled,0,6,73
Graduate,0,0,221
