Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Hard_Dropout,Soft_Dropout,Limit_Enrolled,Hard_Enrolled,Soft_Enrolled,Limit_Graduate,Hard_Graduate,Soft_Graduate
1,0.7166,0.811230,0.652872,0.497173,0.20,0.20,0,0,42,117,118.45,24,3,19.82,inf,322,303.74
3,0.7526,0.708160,0.529396,0.529441,0.20,0.20,0,0,42,160,157.75,24,7,32.80,inf,275,251.46
6,0.7463,0.746326,0.493386,0.563078,0.20,0.20,0,0,42,168,167.26,24,0,30.79,inf,274,243.94
9,0.7453,0.713884,0.432527,0.572238,0.20,0.20,0,0,42,154,149.25,24,0,27.10,inf,288,265.65
12,0.7506,0.691041,0.437982,0.527829,0.20,0.20,0,0,42,154,152.90,24,3,26.18,inf,285,262.92
15,0.7421,0.731362,0.466113,0.511851,0.20,0.20,0,0,42,145,145.55,24,0,30.16,inf,297,266.29
18,0.7453,0.670539,0.428279,0.525187,0.20,0.20,0,0,42,152,157.51,24,0,25.99,inf,290,258.51
21,0.7411,0.685810,0.428193,0.506945,0.20,0.20,0,0,42,142,145.61,24,0,27.38,inf,300,269.00
24,0.7496,0.713167,0.408012,0.534577,0.20,0.20,0,0,42,160,156.72,24,0,25.54,inf,282,259.73
27,0.7348,0.668224,0.696768,0.518652,0.20,0.20,0,0,42,131,137.59,24,0,21.55,inf,311,282.87
30,0.7423,0.696984,0.391442,0.509382,0.20,0.20,0,0,42,134,140.33,24,0,24.91,inf,308,276.77
33,0.7436,0.657714,0.707351,0.551091,0.20,0.20,0,0,42,137,143.08,24,0,21.82,inf,305,277.10
36,0.7456,0.680298,0.398030,0.515868,0.20,0.20,0,0,42,144,147.15,24,0,24.61,inf,298,270.24
39,0.7383,0.663492,0.361432,0.471173,0.20,0.20,0,0,42,133,140.19,24,0,23.46,inf,309,278.35
42,0.7378,0.680898,0.693018,0.496894,0.20,0.20,0,0,42,130,135.13,24,0,23.29,inf,312,283.58
45,0.7270,0.656425,0.412394,0.478850,0.20,0.20,0,0,42,112,122.80,24,0,27.44,inf,330,291.77
48,0.7378,0.670650,0.687987,0.522635,0.20,0.20,0,0,42,129,135.26,24,0,19.99,inf,313,286.75
51,0.7310,0.675381,0.681137,0.537173,0.20,0.20,0,0,42,122,132.78,24,0,16.17,inf,320,293.04
54,0.7516,0.678090,0.474197,0.538693,0.20,0.20,0,0,42,147,152.44,24,1,28.98,inf,294,260.59
57,0.7441,0.696508,0.706061,0.531734,0.20,0.20,0,0,42,130,141.23,24,0,21.49,inf,312,279.29
60,0.7509,0.702396,0.721600,0.615958,0.20,0.20,0,0,42,141,150.64,24,0,20.31,inf,301,271.05
63,0.7310,0.729819,0.684814,0.447471,0.20,0.20,0,0,42,123,133.19,24,0,24.60,inf,319,284.22
66,0.7494,0.694754,0.362405,0.499943,0.20,0.20,0,0,42,144,150.52,24,0,23.10,inf,298,268.37
69,0.7438,0.689069,0.699409,0.529457,0.20,0.20,0,0,42,128,138.75,24,0,21.89,inf,314,281.36
72,0.7287,0.681026,0.667128,0.556440,0.20,0.20,0,0,42,114,125.25,24,0,16.16,inf,328,300.59
75,0.7343,0.657505,0.366991,0.490995,0.20,0.20,0,0,42,125,137.94,24,0,24.11,inf,317,279.95
78,0.7317,0.689630,0.676487,0.545071,0.20,0.20,0,0,42,120,130.97,24,0,18.46,inf,322,292.57
81,0.7489,0.689372,0.713872,0.570976,0.20,0.20,0,0,42,137,145.78,24,0,21.91,inf,305,274.31
84,0.7491,0.724077,0.712864,0.603705,0.20,0.20,0,0,42,135,145.90,24,0,19.67,inf,307,276.43
87,0.7267,0.652650,0.407267,0.481888,0.20,0.20,0,0,42,115,128.31,24,0,26.51,inf,327,287.18
