Metric,Value
Overall Accuracy,0.5113
""
Macro Averaged Metrics,
Precision (Macro),0.4467
Recall (Macro),0.3451
F1-Score (Macro),0.2468
""
Weighted Averaged Metrics,
Precision (Weighted),0.5212
Recall (Weighted),0.5113
F1-Score (Weighted),0.3581
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8333,0.0352,0.0676,142
Enrolled,0.0000,0.0000,0.0000,79
Graduate,0.5069,1.0000,0.6728,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,5,0,137
Enrolled,1,0,78
Graduate,0,0,221
