Metric,Value
Overall Accuracy,0.5679
""
Macro Averaged Metrics,
Precision (Macro),0.6437
Recall (Macro),0.4187
F1-Score (Macro),0.3808
""
Weighted Averaged Metrics,
Precision (Weighted),0.6468
Recall (Weighted),0.5679
F1-Score (Weighted),0.4700
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8800,0.1560,0.2651,141
Enrolled,0.5000,0.1000,0.1667,80
Graduate,0.5511,1.0000,0.7106,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,22,8,111
Enrolled,3,8,69
Graduate,0,0,221
