dataset,sigma,tight,method,n,macro_f1,f1_constrained,f1_unconstrained_mean,pre_constrained,rec_constrained,acc,ece,brier,conf_correct,conf_incorrect,conf_gap,flips,sat
dermmnist,0.30,L70_G70,danits_lp,2,0.4773,0.3800,0.4934,0.4616,0.3228,0.7257,0.2298,0.4916,0.9757,0.8933,0.0824,65.0000,0.0000
dermmnist,0.30,L70_G70,fioretto_ldf,2,0.4896,0.3614,0.5109,0.4391,0.3072,0.7329,0.2251,0.4779,0.9793,0.8976,0.0818,22.5000,1.0000
dermmnist,0.30,L70_G70,heuristic,2,0.4764,0.3800,0.4925,0.4616,0.3228,0.7257,0.2298,0.4916,0.9757,0.8933,0.0824,65.0000,0.0000
dermmnist,0.30,L70_G70,hounie_rcl,2,0.4829,0.3589,0.5035,0.4359,0.3049,0.7324,0.2256,0.4806,0.9795,0.9036,0.0759,48.0000,1.0000
dermmnist,0.30,L70_G70,tralo,2,0.4886,0.3536,0.5111,0.4295,0.3004,0.7339,0.2299,0.4836,0.9812,0.9151,0.0662,4.0000,1.0000
tissuemnist,0.00,L20_G20,danits_lp,2,0.3518,0.1757,0.3770,0.5294,0.1053,0.4805,0.4041,0.8886,0.9278,0.8531,0.0747,166.0000,0.0000
tissuemnist,0.00,L20_G20,fioretto_ldf,2,0.3548,0.1805,0.3797,0.5441,0.1082,0.5025,0.3883,0.8534,0.9334,0.8453,0.0881,6.5000,0.5000
tissuemnist,0.00,L20_G20,heuristic,2,0.3518,0.1757,0.3770,0.5294,0.1053,0.4805,0.4041,0.8886,0.9278,0.8531,0.0747,166.0000,0.0000
tissuemnist,0.00,L20_G20,hounie_rcl,2,0.3537,0.1805,0.3784,0.5441,0.1082,0.5030,0.3933,0.8619,0.9349,0.8499,0.0850,19.5000,1.0000
tissuemnist,0.00,L20_G20,tralo,2,0.3581,0.1708,0.3849,0.5147,0.1023,0.5012,0.3875,0.8607,0.9274,0.8481,0.0792,5.5000,1.0000
tissuemnist,0.00,L30_G30,danits_lp,2,0.3595,0.2297,0.3780,0.5000,0.1492,0.4825,0.4041,0.8886,0.9278,0.8531,0.0747,149.0000,0.0000
tissuemnist,0.00,L30_G30,fioretto_ldf,2,0.3648,0.2432,0.3821,0.5294,0.1579,0.5050,0.3832,0.8478,0.9300,0.8456,0.0844,7.5000,1.0000
tissuemnist,0.00,L30_G30,heuristic,2,0.3600,0.2342,0.3780,0.5098,0.1521,0.4828,0.4041,0.8886,0.9278,0.8531,0.0747,149.0000,0.0000
tissuemnist,0.00,L30_G30,hounie_rcl,2,0.3629,0.2342,0.3813,0.5098,0.1521,0.5056,0.3884,0.8555,0.9328,0.8480,0.0848,26.0000,1.0000
tissuemnist,0.00,L30_G30,tralo,2,0.3686,0.2388,0.3872,0.5196,0.1550,0.5075,0.3847,0.8482,0.9316,0.8512,0.0805,4.0000,1.0000
tissuemnist,0.00,L50_G50,danits_lp,2,0.3701,0.3074,0.3791,0.4593,0.2310,0.4859,0.4041,0.8886,0.9278,0.8531,0.0747,114.0000,0.0000
tissuemnist,0.00,L50_G50,fioretto_ldf,2,0.3766,0.2880,0.3893,0.4302,0.2163,0.5058,0.3781,0.8390,0.9276,0.8401,0.0876,6.0000,1.0000
tissuemnist,0.00,L50_G50,heuristic,2,0.3707,0.3113,0.3792,0.4651,0.2339,0.4860,0.4041,0.8886,0.9278,0.8531,0.0747,114.0000,0.0000
tissuemnist,0.00,L50_G50,hounie_rcl,2,0.3750,0.2957,0.3863,0.4418,0.2223,0.5073,0.3815,0.8448,0.9296,0.8436,0.0860,33.5000,1.0000
tissuemnist,0.00,L50_G50,tralo,2,0.3789,0.3113,0.3885,0.4651,0.2339,0.5073,0.3797,0.8424,0.9270,0.8455,0.0815,2.0000,1.0000
tissuemnist,0.00,L70_G70,danits_lp,2,0.3719,0.3265,0.3783,0.3959,0.2778,0.4848,0.4041,0.8886,0.9278,0.8531,0.0747,80.0000,0.0000
tissuemnist,0.00,L70_G70,fioretto_ldf,2,0.3829,0.3367,0.3894,0.4083,0.2865,0.5050,0.3783,0.8358,0.9281,0.8356,0.0925,12.0000,1.0000
tissuemnist,0.00,L70_G70,heuristic,2,0.3727,0.3333,0.3783,0.4042,0.2836,0.4854,0.4041,0.8886,0.9278,0.8531,0.0747,80.0000,0.0000
tissuemnist,0.00,L70_G70,hounie_rcl,2,0.3818,0.3299,0.3892,0.4000,0.2807,0.5059,0.3789,0.8382,0.9283,0.8382,0.0900,34.5000,1.0000
tissuemnist,0.00,L70_G70,tralo,2,0.3883,0.3402,0.3951,0.4125,0.2895,0.5125,0.3723,0.8317,0.9243,0.8423,0.0819,3.5000,1.0000
tissuemnist,0.10,L20_G20,danits_lp,2,0.3488,0.1561,0.3764,0.4706,0.0935,0.4791,0.4363,0.9293,0.9446,0.8843,0.0603,173.5000,0.0000
tissuemnist,0.10,L20_G20,fioretto_ldf,2,0.3650,0.1658,0.3934,0.5000,0.0995,0.5002,0.4260,0.9015,0.9529,0.8989,0.0541,8.0000,1.0000
tissuemnist,0.10,L20_G20,heuristic,2,0.3488,0.1561,0.3764,0.4706,0.0935,0.4791,0.4363,0.9293,0.9446,0.8843,0.0603,173.5000,0.0000
tissuemnist,0.10,L20_G20,hounie_rcl,2,0.3536,0.1708,0.3797,0.5147,0.1023,0.4988,0.4355,0.9108,0.9574,0.9050,0.0524,17.5000,1.0000
tissuemnist,0.10,L20_G20,tralo,2,0.3661,0.1658,0.3948,0.5000,0.0994,0.4981,0.4245,0.9018,0.9502,0.8940,0.0563,4.0000,1.0000
tissuemnist,0.10,L30_G30,danits_lp,2,0.3514,0.1847,0.3753,0.4020,0.1199,0.4789,0.4363,0.9293,0.9446,0.8843,0.0603,156.5000,0.0000
tissuemnist,0.10,L30_G30,fioretto_ldf,2,0.3761,0.2298,0.3971,0.5000,0.1491,0.5040,0.4209,0.8929,0.9508,0.8955,0.0553,5.0000,1.0000
tissuemnist,0.10,L30_G30,heuristic,2,0.3520,0.1892,0.3753,0.4118,0.1229,0.4791,0.4363,0.9293,0.9446,0.8843,0.0603,156.5000,0.0000
tissuemnist,0.10,L30_G30,hounie_rcl,2,0.3716,0.2208,0.3932,0.4804,0.1433,0.5025,0.4245,0.9015,0.9514,0.8992,0.0522,25.0000,1.0000
tissuemnist,0.10,L30_G30,tralo,2,0.3689,0.2162,0.3906,0.4706,0.1404,0.4987,0.4242,0.8967,0.9521,0.8939,0.0582,2.0000,1.0000
tissuemnist,0.10,L50_G50,danits_lp,2,0.3629,0.2685,0.3764,0.4012,0.2017,0.4817,0.4363,0.9293,0.9446,0.8843,0.0603,121.5000,0.0000
tissuemnist,0.10,L50_G50,fioretto_ldf,2,0.3770,0.2568,0.3941,0.3837,0.1930,0.5046,0.4144,0.8851,0.9471,0.8911,0.0560,11.0000,1.0000
tissuemnist,0.10,L50_G50,heuristic,2,0.3629,0.2685,0.3763,0.4012,0.2017,0.4817,0.4363,0.9293,0.9446,0.8843,0.0603,121.5000,0.0000
tissuemnist,0.10,L50_G50,hounie_rcl,2,0.3782,0.2646,0.3944,0.3953,0.1988,0.5035,0.4189,0.8911,0.9492,0.8954,0.0539,35.0000,1.0000
tissuemnist,0.10,L50_G50,tralo,2,0.3784,0.2841,0.3920,0.4244,0.2135,0.5017,0.4185,0.8920,0.9476,0.8908,0.0567,3.0000,1.0000
tissuemnist,0.10,L70_G70,danits_lp,2,0.3613,0.2749,0.3736,0.3334,0.2339,0.4789,0.4363,0.9293,0.9446,0.8843,0.0603,87.5000,0.0000
tissuemnist,0.10,L70_G70,fioretto_ldf,2,0.3837,0.3093,0.3943,0.3750,0.2632,0.5042,0.4123,0.8828,0.9446,0.8900,0.0546,10.5000,0.5000
tissuemnist,0.10,L70_G70,heuristic,2,0.3613,0.2749,0.3736,0.3334,0.2339,0.4789,0.4363,0.9293,0.9446,0.8843,0.0603,88.5000,0.0000
tissuemnist,0.10,L70_G70,hounie_rcl,2,0.3813,0.3093,0.3916,0.3750,0.2631,0.5054,0.4145,0.8858,0.9469,0.8921,0.0548,52.0000,1.0000
tissuemnist,0.10,L70_G70,tralo,2,0.3875,0.3265,0.3963,0.3959,0.2778,0.5075,0.4111,0.8842,0.9430,0.8925,0.0505,4.5000,1.0000
tissuemnist,0.20,L20_G20,danits_lp,2,0.3265,0.1318,0.3543,0.3971,0.0790,0.4279,0.4869,1.0216,0.9438,0.9004,0.0433,222.5000,0.0000
tissuemnist,0.20,L20_G20,fioretto_ldf,2,0.3467,0.1512,0.3746,0.4559,0.0907,0.4808,0.4411,0.9347,0.9468,0.8978,0.0491,3.5000,0.5000
tissuemnist,0.20,L20_G20,heuristic,2,0.3265,0.1318,0.3543,0.3971,0.0790,0.4279,0.4869,1.0216,0.9438,0.9004,0.0433,222.5000,0.0000
tissuemnist,0.20,L20_G20,hounie_rcl,2,0.3374,0.1512,0.3639,0.4559,0.0907,0.4786,0.4457,0.9429,0.9483,0.8980,0.0503,16.0000,1.0000
tissuemnist,0.20,L20_G20,tralo,2,0.3456,0.1610,0.3720,0.4853,0.0965,0.4827,0.4417,0.9324,0.9503,0.8997,0.0505,1.0000,1.0000
tissuemnist,0.20,L30_G30,danits_lp,2,0.3353,0.1982,0.3549,0.4314,0.1286,0.4303,0.4869,1.0216,0.9438,0.9004,0.0433,205.5000,0.0000
tissuemnist,0.20,L30_G30,fioretto_ldf,2,0.3547,0.1982,0.3770,0.4314,0.1287,0.4814,0.4365,0.9313,0.9431,0.8944,0.0486,9.5000,1.0000
tissuemnist,0.20,L30_G30,heuristic,2,0.3359,0.2027,0.3550,0.4412,0.1316,0.4306,0.4869,1.0216,0.9438,0.9004,0.0433,205.5000,0.0000
tissuemnist,0.20,L30_G30,hounie_rcl,2,0.3561,0.2162,0.3761,0.4706,0.1404,0.4844,0.4417,0.9355,0.9475,0.8984,0.0491,20.5000,1.0000
tissuemnist,0.20,L30_G30,tralo,2,0.3559,0.1937,0.3791,0.4216,0.1258,0.4805,0.4401,0.9319,0.9450,0.8966,0.0483,4.0000,1.0000
tissuemnist,0.20,L50_G50,danits_lp,2,0.3451,0.2685,0.3560,0.4012,0.2017,0.4331,0.4869,1.0216,0.9438,0.9004,0.0433,170.5000,0.0000
tissuemnist,0.20,L50_G50,fioretto_ldf,2,0.3655,0.2685,0.3794,0.4012,0.2017,0.4765,0.4423,0.9384,0.9432,0.8955,0.0476,6.5000,1.0000
tissuemnist,0.20,L50_G50,heuristic,2,0.3446,0.2646,0.3560,0.3953,0.1988,0.4329,0.4869,1.0216,0.9438,0.9004,0.0433,170.5000,0.0000
tissuemnist,0.20,L50_G50,hounie_rcl,2,0.3635,0.2723,0.3765,0.4070,0.2046,0.4817,0.4378,0.9322,0.9433,0.8931,0.0503,35.0000,1.0000
tissuemnist,0.20,L50_G50,tralo,2,0.3651,0.2762,0.3779,0.4128,0.2076,0.4696,0.4484,0.9550,0.9420,0.8955,0.0464,2.5000,1.0000
tissuemnist,0.20,L70_G70,danits_lp,2,0.3468,0.2955,0.3542,0.3584,0.2515,0.4335,0.4869,1.0216,0.9438,0.9004,0.0433,136.5000,0.0000
tissuemnist,0.20,L70_G70,fioretto_ldf,2,0.3688,0.3024,0.3782,0.3667,0.2573,0.4700,0.4481,0.9462,0.9463,0.8936,0.0527,11.0000,1.0000
tissuemnist,0.20,L70_G70,heuristic,2,0.3460,0.2921,0.3538,0.3542,0.2485,0.4332,0.4869,1.0216,0.9438,0.9004,0.0433,136.5000,0.0000
tissuemnist,0.20,L70_G70,hounie_rcl,2,0.3705,0.3093,0.3793,0.3750,0.2631,0.4736,0.4464,0.9415,0.9457,0.8949,0.0508,31.0000,1.0000
tissuemnist,0.20,L70_G70,tralo,2,0.3702,0.3093,0.3789,0.3750,0.2632,0.4698,0.4481,0.9548,0.9410,0.8972,0.0438,1.0000,1.0000
tissuemnist,0.30,L20_G20,danits_lp,2,0.3305,0.1658,0.3540,0.5000,0.0995,0.4219,0.4756,1.0132,0.9338,0.8772,0.0566,88.5000,0.0000
tissuemnist,0.30,L20_G20,fioretto_ldf,2,0.3373,0.1561,0.3633,0.4706,0.0935,0.4552,0.4548,0.9666,0.9427,0.8822,0.0604,3.5000,1.0000
tissuemnist,0.30,L20_G20,heuristic,2,0.3305,0.1658,0.3540,0.5000,0.0995,0.4219,0.4756,1.0132,0.9338,0.8772,0.0566,88.5000,0.0000
tissuemnist,0.30,L20_G20,hounie_rcl,2,0.3356,0.1463,0.3626,0.4412,0.0877,0.4497,0.4626,0.9817,0.9420,0.8865,0.0554,18.0000,1.0000
tissuemnist,0.30,L20_G20,tralo,2,0.3368,0.1512,0.3633,0.4559,0.0907,0.4589,0.4519,0.9643,0.9409,0.8853,0.0557,3.0000,1.0000
tissuemnist,0.30,L30_G30,danits_lp,2,0.3389,0.2252,0.3551,0.4902,0.1462,0.4247,0.4756,1.0132,0.9338,0.8772,0.0566,71.5000,0.0000
tissuemnist,0.30,L30_G30,fioretto_ldf,2,0.3414,0.1847,0.3637,0.4020,0.1199,0.4555,0.4554,0.9646,0.9438,0.8818,0.0619,9.0000,1.0000
tissuemnist,0.30,L30_G30,heuristic,2,0.3379,0.2207,0.3547,0.4804,0.1432,0.4244,0.4756,1.0132,0.9338,0.8772,0.0566,71.5000,0.0000
tissuemnist,0.30,L30_G30,hounie_rcl,2,0.3405,0.1802,0.3633,0.3922,0.1170,0.4546,0.4567,0.9678,0.9443,0.8813,0.0630,24.0000,1.0000
tissuemnist,0.30,L30_G30,tralo,2,0.3454,0.1847,0.3683,0.4020,0.1199,0.4541,0.4511,0.9647,0.9378,0.8790,0.0587,3.5000,1.0000
tissuemnist,0.30,L50_G50,danits_lp,2,0.3463,0.2918,0.3540,0.4361,0.2193,0.4266,0.4756,1.0132,0.9338,0.8772,0.0566,36.5000,0.0000
tissuemnist,0.30,L50_G50,fioretto_ldf,2,0.3497,0.2334,0.3662,0.3488,0.1754,0.4552,0.4518,0.9612,0.9411,0.8789,0.0622,13.5000,1.0000
tissuemnist,0.30,L50_G50,heuristic,2,0.3458,0.2879,0.3540,0.4303,0.2164,0.4264,0.4756,1.0132,0.9338,0.8772,0.0566,36.5000,0.0000
tissuemnist,0.30,L50_G50,hounie_rcl,2,0.3461,0.2334,0.3621,0.3488,0.1754,0.4537,0.4543,0.9637,0.9427,0.8806,0.0620,29.5000,1.0000
tissuemnist,0.30,L50_G50,tralo,2,0.3462,0.2374,0.3617,0.3547,0.1784,0.4533,0.4493,0.9620,0.9369,0.8752,0.0617,6.5000,1.0000
tissuemnist,0.30,L70_G70,danits_lp,2,0.3477,0.3037,0.3540,0.3936,0.2485,0.4269,0.4756,1.0132,0.9338,0.8772,0.0566,15.0000,0.5000
tissuemnist,0.30,L70_G70,fioretto_ldf,2,0.3533,0.2611,0.3665,0.3166,0.2223,0.4541,0.4516,0.9614,0.9391,0.8764,0.0627,10.5000,1.0000
tissuemnist,0.30,L70_G70,heuristic,2,0.3480,0.3161,0.3526,0.3833,0.2690,0.4269,0.4756,1.0132,0.9338,0.8772,0.0566,27.5000,0.5000
tissuemnist,0.30,L70_G70,hounie_rcl,2,0.3554,0.2714,0.3674,0.3291,0.2310,0.4565,0.4506,0.9607,0.9395,0.8774,0.0621,25.5000,1.0000
tissuemnist,0.30,L70_G70,tralo,2,0.3558,0.2749,0.3673,0.3333,0.2339,0.4579,0.4496,0.9577,0.9424,0.8778,0.0646,9.5000,1.0000
