dataset,sigma,tight,method,n,macro_f1,f1_constrained,f1_unconstrained_mean,pre_constrained,rec_constrained,acc,ece,brier,conf_correct,conf_incorrect,conf_gap,flips,sat
aider,0.10,L70_G70,fioretto_ldf,2,0.9093,0.8150,0.9408,0.9929,0.6912,0.9516,0.0490,0.1007,0.9958,0.9183,0.0774,11.0000,1.0000
aider,0.10,L70_G70,heuristic,2,0.9183,0.8208,0.9508,1.0000,0.6961,0.9567,0.0238,0.0500,0.9960,0.8817,0.1144,31.0000,0.0000
aider,0.10,L70_G70,hounie_rcl,2,0.8683,0.7110,0.9207,0.8662,0.6030,0.9336,0.0774,0.1581,0.9946,0.9252,0.0693,41.5000,1.0000
aider,0.10,L70_G70,tralo,2,0.9145,0.8208,0.9458,1.0000,0.6961,0.9546,0.0413,0.0855,0.9969,0.9234,0.0735,3.0000,1.0000
aider,0.20,L20_G20,danits_lp,2,0.7404,0.3279,0.8779,1.0000,0.1961,0.8903,0.0420,0.1006,0.9881,0.8748,0.1134,83.0000,0.0000
aider,0.20,L20_G20,fioretto_ldf,2,0.7314,0.3279,0.8659,1.0000,0.1961,0.8878,0.1033,0.2119,0.9940,0.9086,0.0854,8.0000,1.0000
aider,0.20,L20_G20,heuristic,2,0.7404,0.3279,0.8779,1.0000,0.1961,0.8903,0.0420,0.1006,0.9881,0.8748,0.1134,83.0000,0.0000
aider,0.20,L20_G20,hounie_rcl,2,0.7117,0.3197,0.8423,0.9750,0.1912,0.8773,0.1251,0.2549,0.9949,0.9412,0.0537,17.5000,1.0000
aider,0.20,L20_G20,tralo,2,0.7358,0.3279,0.8717,1.0000,0.1961,0.8908,0.0943,0.1993,0.9933,0.9176,0.0756,0.0000,1.0000
aider,0.20,L30_G30,danits_lp,2,0.7769,0.4662,0.8804,1.0000,0.3039,0.8995,0.0420,0.1006,0.9881,0.8748,0.1134,72.0000,0.0000
aider,0.20,L30_G30,fioretto_ldf,2,0.7806,0.4662,0.8854,1.0000,0.3039,0.9029,0.0864,0.1860,0.9919,0.9129,0.0790,6.0000,1.0000
aider,0.20,L30_G30,heuristic,2,0.7769,0.4662,0.8804,1.0000,0.3039,0.8995,0.0420,0.1006,0.9881,0.8748,0.1134,72.0000,0.0000
aider,0.20,L30_G30,hounie_rcl,2,0.7649,0.4587,0.8669,0.9839,0.2990,0.8954,0.1106,0.2298,0.9939,0.9355,0.0583,23.0000,1.0000
aider,0.20,L30_G30,tralo,2,0.7854,0.4662,0.8918,1.0000,0.3039,0.9059,0.0800,0.1736,0.9925,0.9103,0.0822,1.5000,1.0000
aider,0.20,L50_G50,danits_lp,2,0.8323,0.6667,0.8875,1.0000,0.5000,0.9163,0.0420,0.1006,0.9881,0.8748,0.1134,52.0000,0.0000
aider,0.20,L50_G50,fioretto_ldf,2,0.8436,0.6667,0.9025,1.0000,0.5000,0.9240,0.0660,0.1413,0.9921,0.8849,0.1072,6.0000,1.0000
aider,0.20,L50_G50,heuristic,2,0.8323,0.6667,0.8875,1.0000,0.5000,0.9163,0.0420,0.1006,0.9881,0.8748,0.1134,52.0000,0.0000
