alpha_kl,d_acc,d_f1c,d_f1u,d_flips,d_macro,d_pre_c,d_rec_c,data_dir,dataset,ds_cls_prev,ds_imbalance,ds_n_classes,ds_n_test,ds_n_train,lr,model,model_params,n_classes,ph_acc,ph_brier,ph_conf_gap,ph_ece,ph_f1c,ph_f1u,ph_f1u_std,ph_macro,ph_mean_entropy,ph_pct_high,ph_pre_c,ph_rec_c,ph_sup_c,ph_warmup_train_acc,pretrained,rho_target,sweep,tight,tight_pct,tr_flips,tr_macro,tr_sat_epoch,warmup_eps
0.0,0.0010000000000000009,-0.013799999999999979,-0.011466666666666625,-129.0,-0.011800000000000033,-0.029900000000000038,-0.008900000000000019,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8437,0.2319,0.1192,0.1047,0.4276,0.7845166666666666,0.08697856856081783,0.7335,0.042,0.9336,0.9254,0.278,223.0,,True,100.0,contamination_clean,L30_G30,30,0.0,0.7217,67,50
0.0,-0.0015000000000000568,-0.006900000000000017,0.03311666666666657,-111.0,0.02739999999999998,-0.014900000000000024,-0.004400000000000015,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8437,0.2387,0.1214,0.108,0.4207,0.7579666666666668,0.12089009701193709,0.7098,0.0444,0.9296,0.9104,0.2735,223.0,,True,100.0,contamination_clean,L30_G30,30,21.0,0.7372,70,50
0.0,0.006000000000000005,0.0,0.008500000000000063,-82.0,0.007299999999999973,0.0,0.0,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8582,0.2319,0.1192,0.1047,0.5749,0.7881,0.08822405189818326,0.7576,0.042,0.9336,0.8649,0.4305,223.0,,True,100.0,contamination_clean,L50_G50,50,3.0,0.7649,63,50
0.0,0.007000000000000006,0.017999999999999905,0.02746666666666675,-88.0,0.026100000000000012,0.027000000000000024,0.013500000000000012,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8522,0.2387,0.1214,0.108,0.5329,0.7671833333333332,0.11754106256491342,0.7337,0.0444,0.9296,0.8018,0.3991,223.0,,True,100.0,contamination_clean,L50_G50,50,0.0,0.7598,63,50
0.0,0.02290000000000003,0.0,0.023285714285714187,-161.0,0.020399999999999974,0.0,0.0,data/tissuemnist/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4838,0.8891,0.0771,0.405,0.1659,0.3587571428571429,0.18285187492411803,0.3346,0.1385,0.7733,0.5,0.0994,171.0,,True,100.0,contamination_clean,L20_G20,20,11.0,0.355,71,50
0.0,0.018699999999999994,-0.009800000000000003,-0.007657142857142807,-160.0,-0.007899999999999963,-0.02939999999999998,-0.0058,data/tissuemnist/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4771,0.8881,0.0723,0.4032,0.1854,0.3953285714285714,0.15117286901600635,0.3691,0.1442,0.7608,0.5588,0.1111,171.0,,True,100.0,contamination_clean,L20_G20,20,0.0,0.3612,74,50
0.0,0.019999999999999962,0.01369999999999999,0.02098571428571433,-82.0,0.020100000000000007,0.016699999999999993,0.011699999999999988,data/tissuemnist/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4875,0.8891,0.0771,0.405,0.3093,0.35957142857142854,0.18166687499207926,0.3533,0.1385,0.7733,0.375,0.2632,171.0,,True,100.0,contamination_clean,L70_G70,70,4.0,0.3734,61,50
0.0,0.03539999999999999,0.013799999999999979,0.012671428571428611,-71.0,0.012799999999999978,0.016600000000000004,0.011699999999999988,data/tissuemnist/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4821,0.8881,0.0723,0.4032,0.3436,0.39705714285714283,0.15053851768275933,0.3904,0.1442,0.7608,0.4167,0.2924,171.0,,True,100.0,contamination_clean,L70_G70,70,3.0,0.4032,60,50
0.0,0.028700000000000003,0.027000000000000024,0.028871428571428548,-149.0,0.028600000000000014,0.05880000000000002,0.017499999999999988,data/tissuemnist/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4842,0.8891,0.0771,0.405,0.1982,0.35828571428571426,0.18337166340188857,0.3383,0.1385,0.7733,0.4314,0.1287,171.0,,True,100.0,contamination_clean,L30_G30,30,6.0,0.3669,68,50
0.0,0.021299999999999986,-0.008999999999999952,-0.010528571428571498,-141.0,-0.010399999999999965,-0.01959999999999995,-0.005899999999999989,data/tissuemnist/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4808,0.8881,0.0723,0.4032,0.2613,0.3977428571428572,0.15109123882270473,0.3807,0.1442,0.7608,0.5686,0.1696,171.0,,True,100.0,contamination_clean,L30_G30,30,2.0,0.3703,71,50
