alpha_kl,d_acc,d_f1c,d_f1u,d_flips,d_macro,d_pre_c,d_rec_c,data_dir,dataset,ds_cls_prev,ds_imbalance,ds_n_classes,ds_n_test,ds_n_train,lr,model,model_params,n_classes,ph_acc,ph_brier,ph_conf_gap,ph_ece,ph_f1c,ph_f1u,ph_f1u_std,ph_macro,ph_mean_entropy,ph_pct_high,ph_pre_c,ph_rec_c,ph_sup_c,ph_warmup_train_acc,pretrained,rho_target,sweep,tight,tight_pct,tr_flips,tr_macro,tr_sat_epoch,warmup_eps
0.0,0.0044999999999999485,0.010600000000000054,0.012733333333333263,-31.0,0.012500000000000067,0.012900000000000023,0.009000000000000008,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8677,0.2406,0.1016,0.112,0.6385,0.7924166666666667,0.10586577061963368,0.7704,0.0359,0.9441,0.7756,0.5426,223.0,,True,100.0,contamination_clean,L70_G70,70,2.0,0.7829,57,50
0.0,0.006000000000000005,-0.006900000000000017,0.012783333333333258,-28.0,0.010000000000000009,-0.014900000000000024,-0.004400000000000015,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8387,0.3087,0.0856,0.1434,0.4207,0.7602666666666668,0.10951326657330404,0.7117,0.0395,0.9391,0.9104,0.2735,223.0,,True,100.0,contamination_clean,L30_G30,30,0.0,0.7217,67,50
0.0,0.0014999999999999458,0.013799999999999979,0.007283333333333419,-21.0,0.008199999999999985,0.029799999999999938,0.009000000000000008,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8407,0.3138,0.0872,0.1477,0.4,0.7837999999999999,0.11478806558174941,0.729,0.0328,0.9471,0.8657,0.2601,223.0,,True,100.0,contamination_clean,L30_G30,30,21.0,0.7372,70,50
0.0,0.0040000000000000036,0.006000000000000005,0.007233333333333425,-40.0,0.007000000000000006,0.009000000000000008,0.004500000000000004,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8602,0.2704,0.0986,0.1242,0.5689,0.7893666666666667,0.1114385580587896,0.7579,0.0406,0.9341,0.8559,0.426,223.0,,True,100.0,contamination_clean,L50_G50,50,3.0,0.7649,63,50
0.0,0.0024999999999999467,0.0,0.003149999999999875,-33.0,0.0027000000000000357,0.0,0.0,data/dermmnist/slice_1,dermmnist,0.113,58.0,7,2003,8012,0.0001,MobileNetV3,5400000,7,0.8567,0.2715,0.0804,0.1256,0.5509,0.7915000000000001,0.10870886195093143,0.7571,0.0345,0.9446,0.8288,0.4126,223.0,,True,100.0,contamination_clean,L50_G50,50,0.0,0.7598,63,50
0.0,-0.0029000000000000137,-0.019500000000000017,0.0048857142857142155,-14.0,0.0017999999999999683,-0.05879999999999996,-0.011700000000000002,data/tissuemnist/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.5096,0.8599,0.0784,0.3929,0.1854,0.37715714285714286,0.20761498608958745,0.3532,0.1281,0.7887,0.5588,0.1111,171.0,,True,100.0,contamination_clean,L20_G20,20,11.0,0.355,71,50
0.0,-0.0005000000000000004,0.0,0.008000000000000063,-14.0,0.007000000000000006,0.0,0.0,data/tissuemnist/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.4963,0.864,0.0916,0.3938,0.1756,0.37967142857142855,0.18410227525780895,0.3542,0.1403,0.7662,0.5294,0.1053,171.0,,True,100.0,contamination_clean,L20_G20,20,0.0,0.3612,74,50
0.0,-0.00040000000000006697,0.006800000000000028,-0.0030857142857143027,-35.0,-0.0017999999999999683,0.008400000000000019,0.005899999999999961,data/tissuemnist/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.5079,0.8382,0.0862,0.3795,0.3162,0.3836428571428572,0.19369255356394693,0.3752,0.1422,0.7629,0.3833,0.269,171.0,,True,100.0,contamination_clean,L70_G70,70,4.0,0.3734,61,50
0.0,0.013699999999999934,0.013799999999999979,0.01497142857142858,-27.0,0.01479999999999998,0.016600000000000004,0.011699999999999988,data/tissuemnist/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.5038,0.8383,0.0939,0.3782,0.3436,0.39475714285714286,0.16848463140716474,0.3884,0.1501,0.7567,0.4167,0.2924,171.0,,True,100.0,contamination_clean,L70_G70,70,3.0,0.4032,60,50
0.0,0.0046000000000000485,0.018000000000000016,0.00972857142857142,-28.0,0.010799999999999976,0.03920000000000001,0.011699999999999988,data/tissuemnist/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.5083,0.8533,0.0813,0.3892,0.2072,0.3774285714285714,0.2047312364630114,0.3561,0.1316,0.7854,0.451,0.1345,171.0,,True,100.0,contamination_clean,L30_G30,30,6.0,0.3669,68,50
0.0,-0.0008000000000000229,-0.008999999999999952,0.0020857142857142463,-16.0,0.0007000000000000339,-0.01959999999999995,-0.005899999999999989,data/tissuemnist/slice_1,tissuemnist,0.071,6.0,8,2400,9600,0.0001,MobileNetV3,5400000,8,0.5029,0.8576,0.0883,0.3877,0.2613,0.38512857142857143,0.18533824456371434,0.3696,0.1425,0.7629,0.5686,0.1696,171.0,,True,100.0,contamination_clean,L30_G30,30,2.0,0.3703,71,50
