constraint_tag,method,n_seeds,macro_f1_mean,macro_f1_std,flips_mean,flips_std,accuracy_mean,accuracy_std,satisfied_pct
L50_G70,heuristic,4,0.747150,0.018788,92.5000,7.1414,0.858075,0.006884,0.00
L50_G70,danits_lp,4,0.747150,0.018927,92.5000,7.1414,0.858075,0.006884,0.00
L50_G80,tralo,4,0.765300,0.006592,7.0000,6.5828,0.862325,0.003521,100.00
L50_G80,tralo_bounded,4,0.764425,0.010809,10.5000,5.0662,0.862825,0.003568,75.00
L50_G80,fioretto_ldf,4,0.763225,0.011363,10.5000,2.5166,0.862200,0.003028,100.00
L50_G80,hounie_rcl,4,0.764775,0.012697,17.7500,5.5603,0.862700,0.004655,100.00
L50_G80,heuristic,4,0.747150,0.018788,92.5000,7.1414,0.858075,0.006884,0.00
L50_G80,danits_lp,4,0.747150,0.018927,92.5000,7.1414,0.858075,0.006884,0.00
L70_G20,tralo,4,0.709500,0.011431,0.0000,0.0000,0.832025,0.005762,100.00
L70_G20,tralo_bounded,4,0.706725,0.009159,0.2500,0.5000,0.829900,0.006991,75.00
L70_G20,fioretto_ldf,4,0.708450,0.011116,0.0000,0.0000,0.831400,0.004473,100.00
L70_G20,hounie_rcl,4,0.705700,0.014179,0.0000,0.0000,0.829025,0.006701,100.00
L70_G20,heuristic,4,0.703200,0.018465,158.5000,7.1414,0.836700,0.005354,0.00
L70_G20,danits_lp,4,0.703200,0.018465,158.5000,7.1414,0.836700,0.005354,0.00
L70_G30,tralo,4,0.728925,0.012599,0.0000,0.0000,0.844325,0.004871,100.00
L70_G30,tralo_bounded,4,0.729600,0.011656,0.0000,0.0000,0.843325,0.004110,100.00
L70_G30,fioretto_ldf,4,0.731875,0.009967,0.7500,1.5000,0.843825,0.004768,75.00
L70_G30,hounie_rcl,4,0.726700,0.013211,0.0000,0.0000,0.842075,0.005360,100.00
L70_G30,heuristic,4,0.721975,0.016792,136.5000,7.1414,0.845575,0.005105,0.00
L70_G30,danits_lp,4,0.722625,0.016843,136.5000,7.1414,0.846075,0.004750,0.00
L70_G50,tralo,4,0.765850,0.011220,0.0000,0.0000,0.862575,0.003614,100.00
L70_G50,tralo_bounded,4,0.760375,0.009157,0.0000,0.0000,0.860575,0.002720,100.00
L70_G50,fioretto_ldf,4,0.763425,0.008149,0.0000,0.0000,0.861700,0.002483,100.00
L70_G50,hounie_rcl,4,0.764325,0.007802,0.0000,0.0000,0.862200,0.002550,100.00
L70_G50,heuristic,4,0.748375,0.018282,91.5000,7.1414,0.858700,0.006721,0.00
L70_G50,danits_lp,4,0.748800,0.018960,91.5000,7.1414,0.858575,0.006836,0.00
L70_G80,tralo,4,0.789375,0.004863,2.7500,1.5000,0.873700,0.002858,100.00
L70_G80,tralo_bounded,4,0.786775,0.006116,10.0000,3.3665,0.872700,0.002380,50.00
L70_G80,fioretto_ldf,4,0.788100,0.004325,10.5000,3.8730,0.872575,0.002626,100.00
