binding_ratio,borderline_005,borderline_010,cstr_K,cstr_prob_mean,cstr_prob_q90,cstr_prob_std,d_f1c,d_f1u,d_macro,dataset,entropy_mean,entropy_std,hard_count_cstr,high_conf_090,high_conf_099,n_samples,pred_balance_entropy,soft_binding_ratio,soft_count_cstr,soft_minus_hard_cstr,tight,tight_pct,uncstr_prob_mean
0.6372549019607844,0.0016806722689075631,0.0025210084033613447,20.4,0.011466434677938285,1.0907729000000247e-06,0.09212061633954544,0.0,0.003866666666666685,0.0029000000000000137,aider,0.021442804038138315,0.09812548668981291,13.0,0.9747899159663865,0.9378151260504202,1190,0.5940656706059719,0.6688753562130666,13.645057266746559,0.6450572667465586,L20_G20,20,0.9885335653220619
0.5882352941176471,0.0016806722689075631,0.0033613445378151263,20.4,0.01151813778253072,3.8717475400000167e-07,0.09149107240411096,0.0,0.001966666666666672,0.0015000000000000568,aider,0.02198706407219859,0.10241524788180931,12.0,0.9722689075630252,0.9394957983193277,1190,0.5964558785224707,0.6718913706476254,13.706583961211557,1.7065839612115568,L20_G20,20,0.9884818622174694
0.9523809523809523,0.0008403361344537816,0.0016806722689075631,71.4,0.055254528373882,6.231138310000004e-06,0.21805035436840733,0.0,0.005799999999999916,0.0042999999999999705,aider,0.02658717422530142,0.11409728543399103,68.0,0.9647058823529412,0.9336134453781513,1190,0.7660456474109959,0.9209088062313665,65.75288876491958,-2.2471112350804248,L70_G70,70,0.944745471626118
0.9523809523809523,0.0008403361344537816,0.0033613445378151263,71.4,0.0559824095426573,7.473584080000053e-07,0.2221232722497933,0.0,0.0,0.0,aider,0.02032790169845251,0.10141923946978686,68.0,0.9747899159663865,0.9495798319327731,1190,0.7774772774723543,0.9330401590442882,66.61906735576218,-1.3809326442378165,L70_G70,70,0.9440175904573428
0.5555555555555556,0.0033613445378151263,0.005042016806722689,30.6,0.016309821931291057,1.9148113800000043e-06,0.1112033561680619,0.0,0.003933333333333344,0.0030000000000000027,aider,0.02411798628854561,0.10699855284625903,17.0,0.9697478991596639,0.9336134453781513,1190,0.6161290669993013,0.634270852883541,19.408688098236357,2.4086880982363574,L30_G30,30,0.983690178068709
0.7843137254901961,0.0016806722689075631,0.0016806722689075631,30.6,0.019393629876432766,4.825639630000007e-07,0.12452536801825805,0.0,0.00196666666666645,0.0013999999999999568,aider,0.023552444309604532,0.1065858633095844,24.0,0.9697478991596639,0.9378151260504202,1190,0.6488323218679581,0.7541967174168297,23.07841955295499,-0.9215804470450095,L30_G30,30,0.9806063701235672
0.9019607843137255,0.0008403361344537816,0.0025210084033613447,51.0,0.03856799486017577,3.963259060000132e-06,0.1808557676084161,0.0,0.0018666666666666831,0.0013999999999999568,aider,0.026999366830083704,0.11250662467874564,46.0,0.9647058823529412,0.9260504201680673,1190,0.7122445951929817,0.899919880070768,45.89591388360917,-0.10408611639083176,L50_G50,50,0.9614320051398242
0.8823529411764706,0.0033613445378151263,0.004201680672268907,51.0,0.037282607296966176,6.068389500000016e-07,0.17776053658714508,0.0,0.005700000000000038,0.0041999999999999815,aider,0.024518965963356315,0.11154228623653989,45.0,0.9689075630252101,0.938655462184874,1190,0.711717312698225,0.8699275035958774,44.36630268338975,-0.6336973166102524,L50_G50,50,0.9627173927030339
0.8968609865470851,0.0054917623564653024,0.010484273589615577,44.6,0.019990478576621534,2.8716730599999977e-05,0.1283108214954896,0.0,0.0006499999999998174,0.0006000000000000449,dermmnist,0.07654189135401689,0.21243335679777237,40.0,0.9116325511732402,0.836744882675986,2003,0.8632151982087551,0.8977786679141913,40.04092858897293,0.040928588972931834,L20_G20,20,0.9800095214233785
0.7623318385650224,0.0044932601098352475,0.00998502246630055,44.6,0.01842614866049168,8.754012599999975e-06,0.11999433168787992,0.0,-0.0002666666666666373,-0.00019999999999997797,dermmnist,0.06347309599692408,0.18948429116786472,34.0,0.9241138292561158,0.8562156764852721,2003,0.8541443476210195,0.8275241203355344,36.90757576696483,2.9075757669648326,L20_G20,20,0.9815738513395084
0.954516335682255,0.006989515726410384,0.011482775836245632,156.1,0.0737096634325069,0.05591356079999999,0.2436484688432034,0.010499999999999954,0.00158333333333327,0.0028000000000000247,dermmnist,0.08115507001704686,0.21375006407836547,149.0,0.9056415376934598,0.8232651023464803,2003,1.062624932703581,0.9458068920903994,147.64045585531133,-1.3595441446886696,L70_G70,70,0.9262903365674932
0.877642536835362,0.003494757863205192,0.006989515726410384,156.1,0.0717058944072203,0.042751943599999793,0.24129691384613572,0.0,-0.001000000000000112,-0.0007999999999999119,dermmnist,0.07351865570445151,0.1938148365542161,137.0,0.90963554667998,0.8282576135796306,2003,1.0408213793401986,0.9200954932585669,143.62690649766228,6.626906497662276,L70_G70,70,0.9282941055927797
0.8221225710014947,0.0044932601098352475,0.010983524712930605,66.9,0.028606717861569066,0.00017116500799999968,0.152583543318976,0.0,0.007633333333333492,0.006500000000000061,dermmnist,0.07718476691261754,0.21110826633625732,55.0,0.9061407888167748,0.836744882675986,2003,0.9273888549316345,0.8564911192335252,57.29925587672284,2.299255876722839,L30_G30,30,0.971393282138431
0.9267563527653213,0.006490264603095357,0.010484273589615577,66.9,0.03019547063183235,7.062312599999993e-05,0.15409568971103035,0.006900000000000017,0.009033333333333449,0.00869999999999993,dermmnist,0.06707919621275628,0.1927047580745271,62.0,0.9156265601597604,0.8527209186220669,2003,0.9271263936557557,0.9040587096496291,60.481527675560194,-1.5184723244398057,L30_G30,30,0.9698045293681676
0.9237668161434978,0.0024962556165751375,0.010484273589615577,111.5,0.04983913651051005,0.0032216429999999997,0.20132821530090372,0.0,0.007383333333333519,0.006299999999999972,dermmnist,0.08026643628806916,0.21297631281958979,103.0,0.9056415376934598,0.8257613579630554,2003,1.005975854335261,0.895316506103602,99.82779043055163,-3.17220956944837,L50_G50,50,0.95016086348949
0.9147982062780269,0.00399400898652022,0.005991013479780329,111.5,0.050296399583980425,0.001970050099999997,0.20501589258461117,-0.006000000000000005,0.005199999999999982,0.0036000000000000476,dermmnist,0.06634674669457197,0.18641959578754372,102.0,0.9186220668996505,0.8437343984023964,2003,0.9967263862138962,0.9035308373696215,100.74368836671279,-1.2563116332872113,L50_G50,50,0.9497036004160195
0.7894736842105262,0.01875,0.0325,34.2,0.012036883604094908,0.0013103252799999997,0.08346811867928083,-0.009700000000000014,0.006114285714285628,0.0040999999999999925,tissuemnist,0.27970306111391363,0.36361728599462767,27.0,0.6879166666666666,0.46625,2400,1.5596981439077129,0.8446935862522742,28.88852064982778,1.888520649827779,L20_G20,20,0.987963116395905
0.8771929824561403,0.017916666666666668,0.03833333333333333,34.2,0.013497737709107185,0.0017831792699999993,0.09268553350641978,-0.009800000000000003,0.004257142857142904,0.0025000000000000022,tissuemnist,0.29571701957662005,0.37645056472442173,30.0,0.67125,0.45666666666666667,2400,1.646778331609689,0.9472096637969954,32.394570501857245,2.3945705018572454,L20_G20,20,0.9865022622908928
0.885547201336675,0.018333333333333333,0.035833333333333335,119.7,0.044475455173327114,0.02859542429999998,0.17500678347608412,-0.006900000000000017,-0.0008571428571428896,-0.0015999999999999903,tissuemnist,0.29940364681468823,0.36811025731630564,106.0,0.6566666666666666,0.4370833333333333,2400,1.618702653286367,0.8917384495905185,106.74109241598507,0.7410924159850651,L70_G70,70,0.9555245448266729
0.9189640768588136,0.025,0.045,119.7,0.046587392172659205,0.03363910109999998,0.17987557355332928,0.013799999999999979,0.012285714285714344,0.012500000000000011,tissuemnist,0.31491209564581824,0.3836843672083375,110.0,0.6529166666666667,0.43083333333333335,2400,1.7377428052274906,0.9340830510808863,111.80974121438209,1.8097412143820861,L70_G70,70,0.9534126078273406
0.7797270955165693,0.015416666666666667,0.03333333333333333,51.3,0.017680635053253322,0.002857037799999999,0.1038836349056412,0.0,0.008171428571428552,0.007099999999999995,tissuemnist,0.2856687310763558,0.36617499044143714,40.0,0.6825,0.45666666666666667,2400,1.5818667181313195,0.8271642130176993,42.43352412780797,2.4335241278079707,L30_G30,30,0.9823193649467467
0.9161793372319689,0.018333333333333333,0.032916666666666664,51.3,0.019042863572664815,0.0035521975899999946,0.11286343638792146,-0.008999999999999952,0.0020714285714285574,0.0006000000000000449,tissuemnist,0.29905507537447434,0.3776250996686096,47.0,0.6683333333333333,0.45125,2400,1.6660484271944211,0.8908942022299329,45.702872574395556,-1.2971274256044438,L30_G30,30,0.9809571364273353
0.9473684210526315,0.022083333333333333,0.042916666666666665,85.5,0.03449402090948863,0.013912317049999987,0.15204563800201826,0.04670000000000002,-0.00280000000000008,0.003400000000000014,tissuemnist,0.29584456832402056,0.3677188408523169,81.0,0.67125,0.44125,2400,1.614414808288459,0.9682532185119616,82.78565018277271,1.785650182772713,L50_G50,50,0.9655059790905114
0.9239766081871345,0.020833333333333332,0.041666666666666664,85.5,0.034073658978791214,0.015183872399999984,0.15354517521686575,0.0,0.0011714285714285455,0.0010999999999999899,tissuemnist,0.3082706232149074,0.3812990995424116,79.0,0.66125,0.4354166666666667,2400,1.7141068975757618,0.9564535853695779,81.77678154909891,2.7767815490989136,L50_G50,50,0.9659263410212088
0.8187134502923976,0.018333333333333333,0.0375,34.2,0.012706530377330213,0.00028487760499999965,0.09402474791128473,0.009800000000000003,0.0011571428571427456,0.0021999999999999797,tissuemnist,0.21610682333652173,0.3164259413480535,28.0,0.7408333333333333,0.55125,2400,1.6235145575595116,0.8916863422687867,30.49567290559251,2.49567290559251,L20_G20,20,0.98729346962267
1.023391812865497,0.00875,0.02,34.2,0.013916860828258623,3.7351224699999786e-05,0.10113203971803375,0.009799999999999975,-0.006471428571428628,-0.004400000000000015,tissuemnist,0.17828217552075679,0.28133514346170835,35.0,0.78125,0.6016666666666667,2400,1.5406293347185973,0.976621812509377,33.400465987820695,-1.599534012179305,L20_G20,20,0.9860831391717413
0.8939014202172096,0.012916666666666667,0.03,119.7,0.04792361520623338,0.025380062399999993,0.18483416128702093,0.013800000000000034,0.0006285714285714228,0.0023000000000000242,tissuemnist,0.22124903098833093,0.3189670969072276,107.0,0.74375,0.52875,2400,1.704146632012558,0.960874490350544,115.01667649496011,8.016676494960109,L70_G70,70,0.9520763847937667
