Metric,Value
Overall Accuracy,0.5113
""
Macro Averaged Metrics,
Precision (Macro),0.7690
Recall (Macro),0.3469
F1-Score (Macro),0.2507
""
Weighted Averaged Metrics,
Precision (Weighted),0.6892
Recall (Weighted),0.5113
F1-Score (Weighted),0.3583
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8000,0.0282,0.0544,142
Enrolled,1.0000,0.0127,0.0250,79
Graduate,0.5069,1.0000,0.6728,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,4,0,138
Enrolled,1,1,77
Graduate,0,0,221
