Metric,Value
Overall Accuracy,0.5045
""
Macro Averaged Metrics,
Precision (Macro),0.3349
Recall (Macro),0.3380
F1-Score (Macro),0.2327
""
Weighted Averaged Metrics,
Precision (Weighted),0.4129
Recall (Weighted),0.5045
F1-Score (Weighted),0.3442
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.5000,0.0141,0.0274,142
Enrolled,0.0000,0.0000,0.0000,79
Graduate,0.5046,1.0000,0.6707,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,2,0,140
Enrolled,2,0,77
Graduate,0,0,221
