Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Hard_Dropout,Soft_Dropout,Limit_Enrolled,Hard_Enrolled,Soft_Enrolled,Limit_Graduate,Hard_Graduate,Soft_Graduate
1,0.7254,0.813268,0.021954,0.544849,0.20,0.20,1,0,113,103,111.88,63,17,46.60,inf,322,283.52
3,0.7594,0.667893,0.069558,0.590276,0.20,0.20,0,0,113,120,118.25,63,31,57.12,inf,291,266.64
6,0.7668,0.645472,0.065717,0.613214,0.20,0.20,0,0,113,119,117.84,63,33,67.05,inf,290,257.11
9,0.7763,0.651803,0.089213,0.622041,0.20,0.20,0,0,113,127,132.28,63,40,64.00,inf,275,245.72
12,0.7476,0.644502,0.038425,0.594668,0.20,0.20,1,0,113,102,105.46,63,27,65.50,inf,313,271.04
15,0.7350,0.638676,0.000000,0.515728,0.20,0.20,1,0,113,99,100.19,63,16,46.15,inf,327,295.65
18,0.7327,0.650606,0.000000,0.513114,0.20,0.20,1,0,113,96,101.64,63,16,45.49,inf,330,294.87
21,0.7491,0.613579,0.144206,0.588753,0.20,0.20,1,0,113,96,101.91,63,27,73.20,inf,319,266.89
24,0.7678,0.634813,0.140451,0.624894,0.20,0.20,0,0,113,124,130.17,63,26,61.88,inf,292,249.95
27,0.7675,0.652824,0.031885,0.608634,0.20,0.20,1,0,113,108,115.94,63,28,65.04,inf,306,261.02
30,0.7398,0.647803,0.000000,0.561681,0.20,0.20,1,0,113,91,97.69,63,22,63.88,inf,329,280.43
33,0.7620,0.628123,0.011855,0.595480,0.20,0.20,1,0,113,105,113.66,63,25,61.87,inf,312,266.47
36,0.7683,0.625705,0.054143,0.603907,0.20,0.20,1,0,113,111,118.74,63,24,62.05,inf,307,261.20
39,0.7693,0.629327,0.046472,0.602625,0.20,0.20,0,0,113,112,117.68,63,24,62.61,inf,306,261.72
42,0.7481,0.619540,0.039231,0.592911,0.20,0.20,1,0,113,100,108.74,63,24,65.15,inf,318,268.11
45,0.7577,0.635723,0.021457,0.596887,0.20,0.20,1,0,113,106,110.43,63,18,64.10,inf,318,267.47
48,0.7531,0.660996,0.000000,0.582402,0.20,0.20,1,0,113,106,112.97,63,18,59.69,inf,318,269.35
51,0.7542,0.629096,0.071198,0.607565,0.20,0.20,1,0,113,103,111.61,63,18,66.71,inf,321,263.68
54,0.7640,0.633874,0.030654,0.608243,0.20,0.20,1,0,113,103,114.15,63,26,65.70,inf,313,262.15
57,0.7652,0.638504,0.049826,0.601022,0.20,0.20,1,0,113,105,118.11,63,23,61.82,inf,314,262.07
60,0.7627,0.649109,0.036463,0.586179,0.20,0.20,1,0,113,106,116.81,63,21,59.79,inf,315,265.40
63,0.7171,0.629854,0.059829,0.581361,0.20,0.20,1,0,113,92,101.78,63,11,65.51,inf,339,274.71
66,0.7373,0.624695,0.000000,0.533517,0.20,0.20,1,0,113,92,103.85,63,15,52.85,inf,335,285.30
69,0.7640,0.658304,0.047580,0.602663,0.20,0.20,1,0,113,109,117.80,63,21,61.88,inf,312,262.32
72,0.7620,0.679276,0.000097,0.589503,0.20,0.20,1,0,113,101,113.17,63,27,62.09,inf,314,266.74
75,0.7597,0.636007,0.071000,0.606126,0.20,0.20,1,0,113,113,120.76,63,17,61.73,inf,312,259.51
78,0.7247,0.623316,0.021703,0.569471,0.20,0.20,1,0,113,92,99.42,63,14,63.77,inf,336,278.81
81,0.7620,0.628407,0.012875,0.574078,0.20,0.20,1,0,113,105,113.86,63,23,57.16,inf,314,270.98
84,0.7516,0.638056,0.036837,0.589776,0.20,0.20,1,0,113,96,107.35,63,24,64.88,inf,322,269.77
87,0.7567,0.658265,0.011644,0.572639,0.20,0.20,1,0,113,101,114.47,63,22,57.76,inf,319,269.77
90,0.7277,0.661690,0.002605,0.579579,0.20,0.20,1,0,113,92,105.30,63,14,64.24,inf,336,272.46
93,0.7728,0.651988,0.056337,0.619376,0.20,0.20,0,0,113,113,125.22,63,24,62.94,inf,305,253.85
96,0.7531,0.637389,0.000000,0.585278,0.20,0.20,1,0,113,98,111.21,63,21,61.29,inf,323,269.50
99,0.7567,0.639039,0.038984,0.608661,0.20,0.20,1,0,113,100,113.85,63,24,67.50,inf,318,260.66
102,0.7358,0.659718,0.014258,0.578982,0.20,0.20,1,0,113,93,104.71,63,17,63.95,inf,332,273.35
105,0.7617,0.645590,0.033358,0.592609,0.20,0.20,1,0,113,105,115.91,63,21,60.16,inf,316,265.93
108,0.7466,0.618722,0.045712,0.597703,0.20,0.20,1,0,113,98,109.89,63,20,65.54,inf,324,266.57
111,0.7446,0.637823,0.000000,0.561355,0.20,0.20,1,0,113,96,107.78,63,19,57.23,inf,327,277.00
114,0.7592,0.642339,0.046069,0.584301,0.20,0.20,1,0,113,104,117.83,63,20,56.78,inf,318,267.39
117,0.7423,0.632535,0.000000,0.584683,0.20,0.20,1,0,113,100,110.67,63,9,60.87,inf,333,270.46
120,0.7708,0.649841,0.073631,0.625435,0.20,0.20,1,0,113,111,122.29,63,25,67.01,inf,306,252.70
123,0.7544,0.655925,0.067706,0.597807,0.20,0.20,1,0,113,95,108.04,63,25,67.22,inf,322,266.74
126,0.7390,0.668674,0.000000,0.547578,0.20,0.20,1,0,113,99,107.82,63,10,54.48,inf,333,279.69
129,0.7673,0.645562,0.043157,0.596463,0.20,0.20,1,0,113,111,117.77,63,21,61.08,inf,310,263.15
132,0.7285,0.665249,0.000000,0.536463,0.20,0.20,1,0,113,99,107.59,63,8,52.57,inf,335,281.84
135,0.7645,0.640238,0.039128,0.609766,0.20,0.20,1,0,113,110,118.32,63,19,64.77,inf,313,258.91
138,0.7355,0.665074,0.000000,0.563381,0.20,0.20,1,0,113,92,104.28,63,15,60.81,inf,335,276.91
141,0.7594,0.644229,0.003377,0.586110,0.20,0.20,1,0,113,104,113.08,63,21,60.39,inf,317,268.53
144,0.7463,0.627655,0.000000,0.579684,0.20,0.20,1,0,113,101,110.02,63,9,60.83,inf,332,271.14
147,0.7564,0.642982,0.026774,0.577623,0.20,0.20,1,0,113,104,115.78,63,17,56.90,inf,321,269.31
150,0.7335,0.652345,0.099102,0.572694,0.20,0.20,1,0,113,89,96.90,63,20,69.75,inf,333,275.35
153,0.7428,0.654124,0.000000,0.558249,0.20,0.20,1,0,113,98,107.83,63,11,57.06,inf,333,277.10
156,0.7529,0.634209,0.121888,0.610860,0.20,0.20,1,0,113,96,109.80,63,22,71.18,inf,324,261.02
159,0.7635,0.648666,0.040365,0.583179,0.20,0.20,1,0,113,111,117.53,63,16,57.80,inf,315,266.66
162,0.7368,0.642199,0.016585,0.576842,0.20,0.20,1,0,113,100,114.54,63,7,57.36,inf,335,270.09
165,0.7632,0.641442,0.030448,0.605605,0.20,0.20,1,0,113,110,116.69,63,17,64.49,inf,315,260.82
168,0.7393,0.660895,0.000000,0.517698,0.20,0.20,1,0,113,99,105.25,63,13,50.53,inf,330,286.22
171,0.7297,0.646379,0.014869,0.579836,0.20,0.20,1,0,113,95,104.45,63,10,64.23,inf,337,273.32
174,0.7506,0.629073,0.020740,0.564705,0.20,0.20,1,0,113,104,115.18,63,10,54.24,inf,328,272.58
177,0.7370,0.635234,0.040617,0.593436,0.20,0.20,1,0,113,99,108.76,63,10,65.50,inf,333,267.74
180,0.7393,0.633105,0.000000,0.542056,0.20,0.20,1,0,113,93,106.22,63,16,54.45,inf,333,281.33
183,0.7343,0.647599,0.009097,0.574109,0.20,0.20,1,0,113,101,113.47,63,6,57.40,inf,335,271.13
186,0.7569,0.676112,0.033818,0.579009,0.20,0.20,1,0,113,108,116.85,63,13,58.28,inf,321,266.87
189,0.7360,0.621662,0.000000,0.566029,0.20,0.20,1,0,113,91,102.46,63,18,62.96,inf,333,276.57
192,0.7325,0.639012,0.000000,0.573880,0.20,0.20,1,0,113,98,104.89,63,7,62.83,inf,337,274.28
195,0.7501,0.662577,0.021645,0.553601,0.20,0.20,1,0,113,105,115.29,63,9,52.43,inf,328,274.28
198,0.7486,0.695508,0.016754,0.599175,0.20,0.20,1,0,113,104,116.46,63,9,63.79,inf,329,261.74
201,0.7539,0.637690,0.063030,0.618721,0.20,0.20,1,0,113,99,113.07,63,18,71.45,inf,325,257.47
