scenario,tag,method,model_src,acc,f1,class,recall,precision,count,flips,feasible,n_viol
single_MEL,L50_G50,(1) W + LP,warmup,0.8617074388417374,0.7731649637969549,4,0.4125560538116592,0.8288288288288288,111,40,True,0
single_MEL,L50_G50,(2) W + LP + ph,warmup,0.8617074388417374,0.7731649637969549,4,0.4125560538116592,0.8288288288288288,111,40,True,0
single_MEL,L50_G50,(3) heuristic,warmup,0.8617074388417374,0.7731649637969549,4,0.4125560538116592,0.8288288288288288,111,40,True,0
single_MEL,L50_G50,(4) C + argmax + ph,constraint,0.8597104343484773,0.7615789083985883,4,0.4125560538116592,0.8288288288288288,111,20,True,0
single_MEL,L50_G50,(5) C + LP,constraint,0.8592111832251622,0.7609094511816835,4,0.4080717488789238,0.8272727272727273,110,19,True,0
single_MEL,L50_G50,[ref] W argmax,warmup,0.8671992011982027,0.7906787544296209,4,0.5112107623318386,0.7549668874172185,151,0,False,4
single_MEL,L50_G50,[ref] C argmax,constraint,0.8627059410883674,0.7682202351200136,4,0.4618834080717489,0.7984496124031008,129,0,False,3
single_MEL,L50_G50,[diag] C + targeted,constraint,0.8597104343484773,0.7615789083985883,4,0.4125560538116592,0.8288288288288288,111,20,True,0
