Metric,Value
Overall Accuracy,0.5837
""
Macro Averaged Metrics,
Precision (Macro),0.5727
Recall (Macro),0.4315
F1-Score (Macro),0.4017
""
Weighted Averaged Metrics,
Precision (Weighted),0.6202
Recall (Weighted),0.5837
F1-Score (Weighted),0.5022
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9189,0.2411,0.3820,141
Enrolled,0.2273,0.0625,0.0980,80
Graduate,0.5718,0.9910,0.7252,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,34,15,92
Enrolled,3,5,72
Graduate,0,2,219
