epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.006677,0.0,266,0,0.688472
1,0.002617,138.729986,292,0,1.431722
2,nan,282.765769,288,0,2.161041
3,nan,414.270662,282,0,2.863091
4,nan,526.59387,258,0,3.528662
5,nan,611.161964,236,0,4.148475
6,nan,674.558386,228,0,4.718031
7,nan,706.699106,204,0,5.233366
8,nan,726.546164,184,0,5.691772
9,nan,718.467215,158,0,6.090583
10,nan,699.547159,132,0,6.427726
11,nan,655.877558,106,0,6.703316
12,nan,607.02009,84,0,6.91857
13,nan,542.872549,60,0,7.074858
14,nan,464.033514,38,0,7.174125
15,nan,409.629341,22,0,7.221634
16,nan,72.649468,7,0,7.221634
17,nan,0.0,0,1,7.221634
18,nan,0.0,0,1,7.221634
19,nan,0.0,0,1,7.221634
20,nan,0.0,0,1,7.221634
21,nan,0.0,0,1,7.221634
