Metric,Value
Overall Accuracy,0.5905
""
Macro Averaged Metrics,
Precision (Macro),0.6514
Recall (Macro),0.4468
F1-Score (Macro),0.4253
""
Weighted Averaged Metrics,
Precision (Weighted),0.6573
Recall (Weighted),0.5905
F1-Score (Weighted),0.5104
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8857,0.2199,0.3523,141
Enrolled,0.5000,0.1250,0.2000,80
Graduate,0.5685,0.9955,0.7237,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,31,9,101
Enrolled,4,10,66
Graduate,0,1,220
