Metric,Value
Overall Accuracy,0.5249
""
Macro Averaged Metrics,
Precision (Macro),0.7778
Recall (Macro),0.3629
F1-Score (Macro),0.2823
""
Weighted Averaged Metrics,
Precision (Weighted),0.6992
Recall (Weighted),0.5249
F1-Score (Weighted),0.3866
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8182,0.0634,0.1176,142
Enrolled,1.0000,0.0253,0.0494,79
Graduate,0.5152,1.0000,0.6800,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,9,0,133
Enrolled,2,2,75
Graduate,0,0,221
