epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lam_g,max_u_g,h_u
0,0.008991,0.0,218,0,0.000539,5e-06,0.0
1,0.003481,0.000249,244,0,0.001147,1.6e-05,0.0
2,nan,0.000516,242,0,0.001752,3e-05,0.0
3,nan,0.000781,242,0,0.002355,4.8e-05,0.0
4,nan,0.001042,240,0,0.002954,6.8e-05,0.0
5,nan,0.001298,236,0,0.003548,9e-05,0.0
6,nan,0.001548,236,0,0.004138,0.000113,1e-06
7,nan,0.001788,234,0,0.00472,0.000138,1e-06
8,nan,0.002017,232,0,0.005294,0.000163,1e-06
9,nan,0.002236,228,0,0.005859,0.000189,2e-06
10,nan,0.002438,220,0,0.006412,0.000215,2e-06
11,nan,0.002622,214,0,0.006952,0.000242,3e-06
12,nan,0.002786,206,0,0.007477,0.000268,3e-06
13,nan,0.002932,202,0,0.007985,0.000294,4e-06
14,nan,0.003049,198,0,0.008475,0.00032,5e-06
15,nan,0.003145,188,0,0.008945,0.000346,6e-06
16,nan,0.003215,180,0,0.009394,0.00037,6e-06
17,nan,0.003268,166,0,0.009821,0.000395,7e-06
18,nan,0.003286,152,0,0.010224,0.000418,8e-06
19,nan,0.003287,146,0,0.010603,0.00044,9e-06
20,nan,0.003273,138,0,0.010959,0.000462,1e-05
21,nan,0.003229,130,0,0.01129,0.000482,1.1e-05
22,nan,0.003186,120,0,0.011597,0.000502,1.1e-05
23,nan,0.00313,112,0,0.01188,0.00052,1.2e-05
24,nan,0.003068,104,0,0.01214,0.000538,1.3e-05
25,nan,0.003004,96,0,0.012378,0.000554,1.4e-05
26,nan,0.002934,86,0,0.012594,0.000569,1.4e-05
27,nan,0.002865,80,0,0.01279,0.000583,1.5e-05
28,nan,0.002795,68,0,0.012966,0.000596,1.6e-05
29,nan,0.002727,68,0,0.013123,0.000608,1.6e-05
30,nan,0.002663,60,0,0.013263,0.000619,1.7e-05
31,nan,0.002598,47,0,0.013386,0.000629,1.7e-05
32,nan,0.00253,35,0,0.013494,0.000638,1.7e-05
33,nan,0.002472,35,0,0.013587,0.000647,1.8e-05
34,nan,0.00241,29,0,0.013667,0.000654,1.8e-05
35,nan,0.002352,24,0,0.013734,0.00066,1.8e-05
36,nan,0.002292,18,0,0.013789,0.000666,1.9e-05
37,nan,0.002236,16,0,0.013834,0.000671,1.9e-05
38,nan,0.002181,14,0,0.013867,0.000676,1.9e-05
39,nan,0.002126,12,0,0.013891,0.000679,1.9e-05
40,nan,0.002071,10,0,0.013905,0.000683,1.9e-05
41,nan,0.002016,6,0,0.01391,0.000685,1.9e-05
42,nan,0.001961,2,0,0.013906,0.000687,1.9e-05
43,nan,0.001909,1,0,0.013893,0.000689,1.9e-05
44,nan,0.001854,1,0,0.013872,0.00069,1.9e-05
45,nan,0.001795,0,1,0.013843,0.00069,1.9e-05
46,nan,0.001736,0,1,0.013805,0.00069,1.9e-05
47,nan,0.001677,0,1,0.013759,0.00069,1.9e-05
48,nan,0.001618,0,1,0.013706,0.000689,1.9e-05
49,nan,0.001556,0,1,0.013644,0.000688,1.9e-05
