Metric,Value
Overall Accuracy,0.5679
""
Macro Averaged Metrics,
Precision (Macro),0.5958
Recall (Macro),0.4151
F1-Score (Macro),0.3744
""
Weighted Averaged Metrics,
Precision (Weighted),0.6189
Recall (Weighted),0.5679
F1-Score (Weighted),0.4703
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8571,0.1702,0.2840,141
Enrolled,0.3750,0.0750,0.1250,80
Graduate,0.5553,1.0000,0.7141,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,24,10,107
Enrolled,4,6,70
Graduate,0,0,221
