Metric,Value
Overall Accuracy,0.5928
""
Macro Averaged Metrics,
Precision (Macro),0.6209
Recall (Macro),0.4553
F1-Score (Macro),0.4395
""
Weighted Averaged Metrics,
Precision (Weighted),0.6297
Recall (Weighted),0.5928
F1-Score (Weighted),0.5203
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.7857,0.2340,0.3607,141
Enrolled,0.5000,0.1500,0.2308,80
Graduate,0.5771,0.9819,0.7270,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,33,10,98
Enrolled,7,12,61
Graduate,2,2,217
