Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4,Group2_Hard_Class4,Group2_Soft_Class4,Group2_Limit_Class4
51,0.9974,0.008991,0.260393,0.778914,0.000000,0.05,0.00,0,0,inf,72,74.18,inf,112,110.46,inf,180,180.46,inf,18,18.59,45,176,175.00,inf,1413,1411.74,inf,32,32.57,84,83.44,20,59,60.04,17,33,31.52,8
55,1.0000,0.000000,0.363478,1.078563,0.000000,0.06,0.00,0,0,inf,74,74.19,inf,107,107.57,inf,202,203.34,inf,16,17.44,45,168,168.64,inf,1406,1401.09,inf,30,30.73,84,82.26,20,57,59.00,17,27,27.38,8
60,1.0000,0.000000,0.397074,1.076577,0.000000,0.07,0.00,0,0,inf,70,71.37,inf,110,107.78,inf,221,217.91,inf,15,17.07,45,109,108.99,inf,1448,1448.88,inf,30,31.00,55,53.85,20,41,40.50,17,13,14.63,8
65,1.0000,0.000000,0.111009,0.294458,0.000000,0.08,0.00,0,0,inf,61,64.23,inf,109,107.06,inf,227,224.35,inf,12,15.33,45,62,61.78,inf,1500,1498.88,inf,32,31.36,28,28.49,20,25,24.69,17,9,8.60,8
68,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,59,58.53,inf,106,105.14,inf,218,222.48,inf,11,13.58,45,36,37.25,inf,1541,1534.51,inf,32,31.50,18,16.76,20,15,15.93,17,3,4.56,8
69,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,57,56.88,inf,104,104.22,inf,219,220.96,inf,12,13.21,45,30,32.42,inf,1549,1543.79,inf,32,31.52,13,14.11,20,14,14.29,17,3,4.01,8
70,1.0000,0.000000,0.000000,0.007214,0.000000,0.08,0.00,1,1,inf,59,60.34,inf,107,104.60,inf,217,221.26,inf,11,14.19,45,44,43.58,inf,1533,1527.49,inf,32,31.55,20,19.74,20,17,17.96,17,7,5.88,8
72,1.0000,0.000000,0.000000,0.002032,0.000000,0.08,0.00,1,1,inf,58,58.65,inf,98,97.34,inf,212,212.66,inf,12,13.98,45,42,44.09,inf,1550,1545.14,inf,31,31.14,20,20.41,20,15,16.59,17,7,7.09,8
73,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,55,56.86,inf,95,94.20,inf,209,206.07,inf,13,13.53,45,40,41.18,inf,1560,1560.26,inf,31,30.90,18,18.50,20,15,15.61,17,7,7.07,8
74,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,55,56.68,inf,94,92.62,inf,203,202.45,inf,13,13.49,45,40,41.45,inf,1567,1565.55,inf,31,30.76,18,18.55,20,15,15.68,17,7,7.22,8
75,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,57,57.50,inf,92,91.92,inf,201,200.66,inf,14,13.70,45,41,43.47,inf,1567,1565.07,inf,31,30.69,19,19.66,20,15,16.30,17,7,7.50,8
