Metric,Value
Overall Accuracy,0.5950
""
Macro Averaged Metrics,
Precision (Macro),0.5880
Recall (Macro),0.4452
F1-Score (Macro),0.4191
""
Weighted Averaged Metrics,
Precision (Weighted),0.6171
Recall (Weighted),0.5950
F1-Score (Weighted),0.5147
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8140,0.2482,0.3804,141
Enrolled,0.3684,0.0875,0.1414,80
Graduate,0.5816,1.0000,0.7354,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,35,12,94
Enrolled,8,7,65
Graduate,0,0,221
