Metric,Value
Overall Accuracy,0.6018
""
Macro Averaged Metrics,
Precision (Macro),0.6272
Recall (Macro),0.4603
F1-Score (Macro),0.4456
""
Weighted Averaged Metrics,
Precision (Weighted),0.6480
Recall (Weighted),0.6018
F1-Score (Weighted),0.5323
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8837,0.2695,0.4130,141
Enrolled,0.4167,0.1250,0.1923,80
Graduate,0.5813,0.9864,0.7315,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,38,11,92
Enrolled,5,10,65
Graduate,0,3,218
