dataset,constraint_tag,method,n_cells
dermmnist,L20_G80,hounie_rcl,4
dermmnist,L20_G80,tralo,4
dermmnist,L30_G20,danits_lp,4
dermmnist,L30_G20,fioretto_ldf,4
dermmnist,L30_G20,heuristic,4
dermmnist,L30_G20,hounie_rcl,4
dermmnist,L30_G20,tralo,4
dermmnist,L30_G30,danits_lp,60
dermmnist,L30_G30,fioretto_ldf,60
dermmnist,L30_G30,heuristic,60
dermmnist,L30_G30,hounie_rcl,46
dermmnist,L30_G30,tralo,93
dermmnist,L30_G50,danits_lp,4
dermmnist,L30_G50,fioretto_ldf,4
dermmnist,L30_G50,heuristic,4
dermmnist,L30_G50,hounie_rcl,4
dermmnist,L30_G50,tralo,4
dermmnist,L30_G70,danits_lp,4
dermmnist,L30_G70,fioretto_ldf,4
dermmnist,L30_G70,heuristic,4
dermmnist,L30_G70,hounie_rcl,4
dermmnist,L30_G70,tralo,4
dermmnist,L30_G80,danits_lp,4
dermmnist,L30_G80,fioretto_ldf,4
dermmnist,L30_G80,heuristic,4
dermmnist,L30_G80,hounie_rcl,4
dermmnist,L30_G80,tralo,4
dermmnist,L50_G20,danits_lp,7
dermmnist,L50_G20,fioretto_ldf,4
dermmnist,L50_G20,heuristic,7
dermmnist,L50_G20,hounie_rcl,4
dermmnist,L50_G20,tralo,4
dermmnist,L50_G30,danits_lp,4
dermmnist,L50_G30,fioretto_ldf,4
dermmnist,L50_G30,heuristic,4
dermmnist,L50_G30,hounie_rcl,4
dermmnist,L50_G30,tralo,4
dermmnist,L50_G50,danits_lp,54
dermmnist,L50_G50,fioretto_ldf,86
dermmnist,L50_G50,heuristic,54
dermmnist,L50_G50,hounie_rcl,72
dermmnist,L50_G50,tralo,89
dermmnist,L50_G70,danits_lp,4
dermmnist,L50_G70,fioretto_ldf,4
dermmnist,L50_G70,heuristic,4
dermmnist,L50_G70,hounie_rcl,4
dermmnist,L50_G70,tralo,4
dermmnist,L50_G80,danits_lp,4
dermmnist,L50_G80,fioretto_ldf,4
dermmnist,L50_G80,heuristic,4
dermmnist,L50_G80,hounie_rcl,4
dermmnist,L50_G80,tralo,4
dermmnist,L70_G20,danits_lp,4
dermmnist,L70_G20,fioretto_ldf,4
dermmnist,L70_G20,heuristic,4
dermmnist,L70_G20,hounie_rcl,4
dermmnist,L70_G20,tralo,4
dermmnist,L70_G30,danits_lp,4
dermmnist,L70_G30,fioretto_ldf,4
dermmnist,L70_G30,heuristic,4
dermmnist,L70_G30,hounie_rcl,4
dermmnist,L70_G30,tralo,4
dermmnist,L70_G50,danits_lp,4
dermmnist,L70_G50,fioretto_ldf,4
dermmnist,L70_G50,heuristic,4
dermmnist,L70_G50,hounie_rcl,4
dermmnist,L70_G50,tralo,4
dermmnist,L70_G70,danits_lp,40
dermmnist,L70_G70,fioretto_ldf,40
dermmnist,L70_G70,heuristic,40
dermmnist,L70_G70,hounie_rcl,40
dermmnist,L70_G70,tralo,40
dermmnist,L70_G80,danits_lp,4
dermmnist,L70_G80,fioretto_ldf,4
dermmnist,L70_G80,heuristic,4
dermmnist,L70_G80,hounie_rcl,4
dermmnist,L70_G80,tralo,4
dermmnist,L80_G20,danits_lp,4
dermmnist,L80_G20,fioretto_ldf,4
dermmnist,L80_G20,heuristic,4
dermmnist,L80_G20,hounie_rcl,4
dermmnist,L80_G20,tralo,4
dermmnist,L80_G30,danits_lp,4
dermmnist,L80_G30,fioretto_ldf,4
dermmnist,L80_G30,heuristic,4
dermmnist,L80_G30,hounie_rcl,4
dermmnist,L80_G30,tralo,4
dermmnist,L80_G50,danits_lp,4
dermmnist,L80_G50,fioretto_ldf,4
dermmnist,L80_G50,heuristic,4
dermmnist,L80_G50,hounie_rcl,4
dermmnist,L80_G50,tralo,4
dermmnist,L80_G70,danits_lp,4
dermmnist,L80_G70,fioretto_ldf,4
dermmnist,L80_G70,heuristic,4
dermmnist,L80_G70,hounie_rcl,4
dermmnist,L80_G70,tralo,4
dermmnist,L80_G80,danits_lp,32
dermmnist,L80_G80,fioretto_ldf,32
dermmnist,L80_G80,heuristic,32
dermmnist,L80_G80,hounie_rcl,32
dermmnist,L80_G80,tralo,32
octmnist,L30_G30,danits_lp,4
octmnist,L30_G30,fioretto_ldf,6
octmnist,L30_G30,heuristic,4
octmnist,L30_G30,hounie_rcl,6
octmnist,L30_G30,tralo,6
octmnist,L30_G50,danits_lp,4
octmnist,L30_G50,fioretto_ldf,4
octmnist,L30_G50,heuristic,4
octmnist,L30_G50,hounie_rcl,4
octmnist,L30_G50,tralo,4
octmnist,L50_G50,danits_lp,4
octmnist,L50_G50,fioretto_ldf,6
octmnist,L50_G50,heuristic,4
octmnist,L50_G50,hounie_rcl,6
octmnist,L50_G50,tralo,6
retinamnist,L30_G30,fioretto_ldf,2
retinamnist,L30_G30,hounie_rcl,2
retinamnist,L30_G30,tralo,2
retinamnist,L50_G50,fioretto_ldf,2
retinamnist,L50_G50,hounie_rcl,2
retinamnist,L50_G50,tralo,2
tissuemnist,L20_G20,danits_lp,36
tissuemnist,L20_G20,fioretto_ldf,36
tissuemnist,L20_G20,heuristic,36
tissuemnist,L20_G20,hounie_rcl,36
tissuemnist,L20_G20,tralo,36
tissuemnist,L20_G30,danits_lp,4
tissuemnist,L20_G30,fioretto_ldf,4
tissuemnist,L20_G30,heuristic,4
tissuemnist,L20_G30,hounie_rcl,4
tissuemnist,L20_G30,tralo,4
tissuemnist,L20_G50,danits_lp,4
tissuemnist,L20_G50,fioretto_ldf,4
tissuemnist,L20_G50,heuristic,4
tissuemnist,L20_G50,hounie_rcl,4
tissuemnist,L20_G50,tralo,4
tissuemnist,L20_G70,danits_lp,4
tissuemnist,L20_G70,fioretto_ldf,4
tissuemnist,L20_G70,heuristic,4
tissuemnist,L20_G70,hounie_rcl,4
tissuemnist,L20_G70,tralo,4
tissuemnist,L20_G80,danits_lp,4
tissuemnist,L20_G80,fioretto_ldf,4
tissuemnist,L20_G80,heuristic,4
tissuemnist,L20_G80,hounie_rcl,4
tissuemnist,L20_G80,tralo,4
tissuemnist,L30_G20,danits_lp,4
tissuemnist,L30_G20,fioretto_ldf,4
tissuemnist,L30_G20,heuristic,4
tissuemnist,L30_G20,hounie_rcl,4
tissuemnist,L30_G20,tralo,4
tissuemnist,L30_G30,danits_lp,42
tissuemnist,L30_G30,fioretto_ldf,44
