sweep,dataset,model,constraint_tag,data_dir,constrained_class,seed,tight_L_pct,tight_G_pct,is_asymmetric,sigma,tralo_macro_f1,heuristic_macro_f1,d_macro_f1,d_f1_cstr,d_f1_unc,d_acc,d_flips,d_ece,tralo_sat,heuristic_sat,tralo_path,heuristic_path
contamination_clean,dermmnist,MobileNetV3,L50_G50,data/dermmnist/slice_1,4,1,50,50,0,0.0,0.7649,0.7576,0.007299999999999973,0.0,0.008500000000000063,0.006000000000000005,-82.0,0.002699999999999994,1,0,results/pending_runs/contamination_clean/dermmnist/L50_G50/tralo/seed_1,results/pending_runs/contamination_clean/dermmnist/L50_G50/heuristic/seed_1
contamination_clean,dermmnist,MobileNetV3,L50_G50,data/dermmnist/slice_1,4,2,50,50,0,0.0,0.7598,0.7337,0.026100000000000012,0.017999999999999905,0.02746666666666675,0.007000000000000006,-88.0,0.011400000000000007,1,0,results/pending_runs/contamination_clean/dermmnist/L50_G50/tralo/seed_2,results/pending_runs/contamination_clean/dermmnist/L50_G50/heuristic/seed_2
contamination_clean,tissuemnist,MobileNetV3,L20_G20,data/tissuemnist/slice_1,4,1,20,20,0,0.0,0.355,0.3346,0.020399999999999974,0.0,0.023285714285714187,0.02290000000000003,-161.0,-0.01930000000000004,1,0,results/pending_runs/contamination_clean/tissuemnist/L20_G20/tralo/seed_1,results/pending_runs/contamination_clean/tissuemnist/L20_G20/heuristic/seed_1
contamination_clean,tissuemnist,MobileNetV3,L20_G20,data/tissuemnist/slice_1,4,2,20,20,0,0.0,0.3612,0.3691,-0.007899999999999963,-0.009800000000000003,-0.007657142857142807,0.018699999999999994,-160.0,-0.013900000000000023,1,0,results/pending_runs/contamination_clean/tissuemnist/L20_G20/tralo/seed_2,results/pending_runs/contamination_clean/tissuemnist/L20_G20/heuristic/seed_2
contamination_clean,tissuemnist,MobileNetV3,L70_G70,data/tissuemnist/slice_1,4,1,70,70,0,0.0,0.3734,0.3537,0.019699999999999995,0.006800000000000028,0.02145714285714284,0.01959999999999995,-82.0,-0.026800000000000046,1,0,results/pending_runs/contamination_clean/tissuemnist/L70_G70/tralo/seed_1,results/pending_runs/contamination_clean/tissuemnist/L70_G70/heuristic/seed_1
contamination_clean,tissuemnist,MobileNetV3,L70_G70,data/tissuemnist/slice_1,4,2,70,70,0,0.0,0.4032,0.3916,0.0116,0.006900000000000017,0.012242857142857166,0.034599999999999964,-71.0,-0.03670000000000001,1,0,results/pending_runs/contamination_clean/tissuemnist/L70_G70/tralo/seed_2,results/pending_runs/contamination_clean/tissuemnist/L70_G70/heuristic/seed_2
contamination_clean,tissuemnist,MobileNetV3,L30_G30,data/tissuemnist/slice_1,4,1,30,30,0,0.0,0.3669,0.3384,0.028500000000000025,0.027000000000000024,0.028771428571428503,0.028700000000000003,-149.0,-0.02210000000000001,1,0,results/pending_runs/contamination_clean/tissuemnist/L30_G30/tralo/seed_1,results/pending_runs/contamination_clean/tissuemnist/L30_G30/heuristic/seed_1
contamination_clean,tissuemnist,MobileNetV3,L30_G30,data/tissuemnist/slice_1,4,2,30,30,0,0.0,0.3703,0.3817,-0.011399999999999966,-0.01799999999999996,-0.01041428571428582,0.020799999999999985,-141.0,-0.016699999999999993,1,0,results/pending_runs/contamination_clean/tissuemnist/L30_G30/tralo/seed_2,results/pending_runs/contamination_clean/tissuemnist/L30_G30/heuristic/seed_2
contamination_clean,tissuemnist,MobileNetV3,L50_G50,data/tissuemnist/slice_1,4,1,50,50,0,0.0,0.3724,0.3483,0.02410000000000001,0.038900000000000046,0.021985714285714275,0.022500000000000075,-119.0,-0.025400000000000034,1,0,results/pending_runs/contamination_clean/tissuemnist/L50_G50/tralo/seed_1,results/pending_runs/contamination_clean/tissuemnist/L50_G50/heuristic/seed_1
contamination_clean,tissuemnist,MobileNetV3,L50_G50,data/tissuemnist/slice_1,4,2,50,50,0,0.0,0.3853,0.3931,-0.007800000000000029,-0.03889999999999999,-0.0033428571428571474,0.020000000000000018,-105.0,-0.023399999999999976,1,0,results/pending_runs/contamination_clean/tissuemnist/L50_G50/tralo/seed_2,results/pending_runs/contamination_clean/tissuemnist/L50_G50/heuristic/seed_2
contamination_tissuemnist,tissuemnist,MobileNetV3,L20_G20,data/tissuemnist_sigma20/slice_1,4,1,20,20,0,0.2,0.3412,0.3049,0.0363,0.06829999999999999,0.03169999999999995,0.055800000000000016,-243.0,-0.05830000000000002,1,0,results/pending_runs/contamination_tissuemnist/sigma20/L20_G20/tralo/seed_1,results/pending_runs/contamination_tissuemnist/sigma20/L20_G20/heuristic/seed_1
contamination_tissuemnist,tissuemnist,MobileNetV3,L20_G20,data/tissuemnist_sigma20/slice_1,4,2,20,20,0,0.2,0.35,0.348,0.0020000000000000018,-0.009800000000000003,0.0036571428571428033,0.05369999999999997,-200.0,-0.03190000000000004,1,0,results/pending_runs/contamination_tissuemnist/sigma20/L20_G20/tralo/seed_2,results/pending_runs/contamination_tissuemnist/sigma20/L20_G20/heuristic/seed_2
contamination_tissuemnist,tissuemnist,MobileNetV3,L70_G70,data/tissuemnist_sigma20/slice_1,4,1,70,70,0,0.2,0.3523,0.3226,0.029700000000000004,0.04810000000000003,0.027042857142857202,0.02909999999999996,-156.0,-0.038300000000000056,1,0,results/pending_runs/contamination_tissuemnist/sigma20/L70_G70/tralo/seed_1,results/pending_runs/contamination_tissuemnist/sigma20/L70_G70/heuristic/seed_1
contamination_tissuemnist,tissuemnist,MobileNetV3,L70_G70,data/tissuemnist_sigma20/slice_1,4,2,70,70,0,0.2,0.3881,0.3694,0.018699999999999994,-0.01369999999999999,0.023314285714285676,0.04410000000000003,-115.0,-0.03920000000000001,1,0,results/pending_runs/contamination_tissuemnist/sigma20/L70_G70/tralo/seed_2,results/pending_runs/contamination_tissuemnist/sigma20/L70_G70/heuristic/seed_2
contamination_tissuemnist,tissuemnist,MobileNetV3,L30_G30,data/tissuemnist_sigma20/slice_1,4,1,30,30,0,0.2,0.3476,0.3155,0.03210000000000002,0.026999999999999996,0.032799999999999996,0.05249999999999999,-221.0,-0.05590000000000006,1,0,results/pending_runs/contamination_tissuemnist/sigma20/L30_G30/tralo/seed_1,results/pending_runs/contamination_tissuemnist/sigma20/L30_G30/heuristic/seed_1
contamination_tissuemnist,tissuemnist,MobileNetV3,L30_G30,data/tissuemnist_sigma20/slice_1,4,2,30,30,0,0.2,0.3642,0.3564,0.007800000000000029,-0.04500000000000001,0.01538571428571428,0.04710000000000003,-182.0,-0.03760000000000002,1,0,results/pending_runs/contamination_tissuemnist/sigma20/L30_G30/tralo/seed_2,results/pending_runs/contamination_tissuemnist/sigma20/L30_G30/heuristic/seed_2
contamination_tissuemnist,tissuemnist,MobileNetV3,L50_G50,data/tissuemnist_sigma20/slice_1,4,1,50,50,0,0.2,0.3481,0.3259,0.022199999999999998,0.031100000000000017,0.020957142857142896,0.030799999999999994,-187.0,-0.03490000000000004,1,0,results/pending_runs/contamination_tissuemnist/sigma20/L50_G50/tralo/seed_1,results/pending_runs/contamination_tissuemnist/sigma20/L50_G50/heuristic/seed_1
contamination_tissuemnist,tissuemnist,MobileNetV3,L50_G50,data/tissuemnist_sigma20/slice_1,4,2,50,50,0,0.2,0.3822,0.3633,0.018899999999999972,-0.007799999999999974,0.02267142857142851,0.04250000000000004,-149.0,-0.042100000000000026,1,0,results/pending_runs/contamination_tissuemnist/sigma20/L50_G50/tralo/seed_2,results/pending_runs/contamination_tissuemnist/sigma20/L50_G50/heuristic/seed_2
contamination_tissuemnist,tissuemnist,MobileNetV3,L20_G20,data/tissuemnist_sigma10/slice_1,4,1,20,20,0,0.1,0.3673,0.3634,0.0039000000000000146,0.01949999999999999,0.0016428571428571126,0.0020999999999999908,-250.0,-0.005100000000000049,1,0,results/pending_runs/contamination_tissuemnist/sigma10/L20_G20/tralo/seed_1,results/pending_runs/contamination_tissuemnist/sigma10/L20_G20/heuristic/seed_1
contamination_tissuemnist,tissuemnist,MobileNetV3,L20_G20,data/tissuemnist_sigma10/slice_1,4,2,20,20,0,0.1,0.365,0.3343,0.030700000000000005,0.0,0.035114285714285765,0.03589999999999999,-89.0,-0.018500000000000016,1,0,results/pending_runs/contamination_tissuemnist/sigma10/L20_G20/tralo/seed_2,results/pending_runs/contamination_tissuemnist/sigma10/L20_G20/heuristic/seed_2
