Metric,Value
Overall Accuracy,0.5701
""
Macro Averaged Metrics,
Precision (Macro),0.5026
Recall (Macro),0.4066
F1-Score (Macro),0.3530
""
Weighted Averaged Metrics,
Precision (Weighted),0.5785
Recall (Weighted),0.5701
F1-Score (Weighted),0.4646
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.9688,0.2199,0.3584,141
Enrolled,0.0000,0.0000,0.0000,80
Graduate,0.5390,1.0000,0.7005,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,31,0,110
Enrolled,1,0,79
Graduate,0,0,221
