arm,model,tag,seed,cc_f1,sat_ep
lstep004,MobileNetV3,L40_G40,4,0.4914,75
lstep004,RegNetY400MF,L30_G30,1,0.4286,82
lstep004,RegNetY400MF,L30_G30,2,0.4037,78
lstep004,RegNetY400MF,L30_G30,3,0.4,79
lstep004,RegNetY400MF,L30_G30,4,0.3913,67
lstep004,RegNetY400MF,L40_G40,1,0.5257,78
lstep004,RegNetY400MF,L40_G40,2,0.4642,73
lstep004,RegNetY400MF,L40_G40,3,0.4483,74
lstep004,RegNetY400MF,L40_G40,4,0.4496,61
lstep004,ViTB16,L30_G30,1,0.4161,70
lstep004,ViTB16,L30_G30,2,0.4321,70
lstep004,ViTB16,L30_G30,3,0.4185,65
lstep004,ViTB16,L30_G30,4,0.4246,67
lstep004,ViTB16,L40_G40,1,0.4855,69
lstep004,ViTB16,L40_G40,2,0.533,69
lstep004,ViTB16,L40_G40,3,0.51,62
lstep004,ViTB16,L40_G40,4,0.52,65
