block,subblock,dataset,model,constraint_tag,method,seed,constrained_class,group_column,warmup_epochs,cc_f1,cc_recall,cc_prec,cc_support,f1_macro,accuracy,ece,flips,satisfied,total_excess,sat_epoch,disable_freeze,reset_opt,alpha_kl,rho_target,fioretto_step_size,hounie_eta_lambda,ce_nan,max_lambda_g,n_log_epochs
C_fairness,hounie_eta_0p1,dermmnist,MobileNetV3,L50_G30,hounie_rcl,3,4,loc_group,50,0.2879,0.1704,0.9268,223.0,0.7166,0.8377,0.133,0.0,1.0,0.0,22.0,,,,,,0.1,True,,26
C_fairness,hounie_eta_0p1,dermmnist,MobileNetV3,L50_G30,hounie_rcl,1,4,loc_group,50,0.3197,0.1928,0.9348,223.0,0.6869,0.8293,0.1409,0.0,1.0,0.0,25.0,,,,,,0.1,True,,29
C_fairness,hounie_eta_0p1,dermmnist,MobileNetV3,L50_G30,hounie_rcl,2,4,loc_group,50,0.2481,0.1435,0.9143,223.0,0.7102,0.8313,0.1422,0.0,1.0,0.0,22.0,,,,,,0.1,True,,26
C_fairness,hounie_eta_0p1,octmnist,MobileNetV3,L30_G30,hounie_rcl,4,2,synth_group,50,0.2857,0.168,0.9545,250.0,0.6745,0.727,0.2357,0.0,1.0,0.0,32.0,,,,,,0.1,True,,36
C_fairness,hounie_eta_0p1,octmnist,MobileNetV3,L30_G30,hounie_rcl,3,2,synth_group,50,0.3077,0.184,0.9388,250.0,0.6767,0.725,0.2398,0.0,1.0,0.0,31.0,,,,,,0.1,True,,35
C_fairness,hounie_eta_0p1,octmnist,MobileNetV3,L30_G30,hounie_rcl,1,2,synth_group,50,0.3289,0.2,0.9259,250.0,0.6752,0.719,0.2378,0.0,1.0,0.0,31.0,,,,,,0.1,True,,35
C_fairness,hounie_eta_0p1,octmnist,MobileNetV3,L30_G30,hounie_rcl,2,2,synth_group,50,0.2561,0.148,0.9487,250.0,0.645,0.698,0.2525,0.0,1.0,0.0,30.0,,,,,,0.1,True,,34
C_fairness,hounie_eta_0p1,octmnist,MobileNetV3,L40_G40,hounie_rcl,4,2,synth_group,50,0.405,0.26,0.9155,250.0,0.715,0.751,0.2122,0.0,1.0,0.0,25.0,,,,,,0.1,True,,29
C_fairness,hounie_eta_0p1,octmnist,MobileNetV3,L40_G40,hounie_rcl,3,2,synth_group,50,0.4294,0.28,0.9211,250.0,0.7185,0.751,0.2144,0.0,1.0,0.0,25.0,,,,,,0.1,True,,29
C_fairness,hounie_eta_0p1,octmnist,MobileNetV3,L40_G40,hounie_rcl,1,2,synth_group,50,0.3975,0.252,0.9403,250.0,0.6976,0.733,0.2248,0.0,1.0,0.0,27.0,,,,,,0.1,True,,31
C_fairness,hounie_eta_0p1,octmnist,MobileNetV3,L40_G40,hounie_rcl,2,2,synth_group,50,0.4013,0.256,0.9275,250.0,0.6946,0.729,0.2194,0.0,1.0,0.0,24.0,,,,,,0.1,True,,28
C_fairness,hounie_eta_0p05,dermmnist,MobileNetV3,L50_G20,hounie_rcl,4,4,loc_group,50,0.2558,0.148,0.9429,223.0,0.7058,0.8223,0.1551,0.0,1.0,0.0,37.0,,,,,,0.05,True,,41
C_fairness,hounie_eta_0p05,dermmnist,MobileNetV3,L50_G20,hounie_rcl,3,4,loc_group,50,0.1781,0.0987,0.9167,223.0,0.6957,0.8283,0.143,0.0,1.0,0.0,34.0,,,,,,0.05,True,,38
C_fairness,hounie_eta_0p05,dermmnist,MobileNetV3,L50_G20,hounie_rcl,1,4,loc_group,50,0.2692,0.157,0.9459,223.0,0.6777,0.8208,0.1505,0.0,1.0,0.0,38.0,,,,,,0.05,True,,42
C_fairness,hounie_eta_0p05,dermmnist,MobileNetV3,L50_G20,hounie_rcl,2,4,loc_group,50,0.1928,0.1076,0.9231,223.0,0.6993,0.8263,0.1467,0.0,1.0,0.0,31.0,,,,,,0.05,True,,35
C_fairness,hounie_eta_0p05,dermmnist,MobileNetV3,L50_G30,hounie_rcl,4,4,loc_group,50,0.3395,0.2063,0.9583,223.0,0.7143,0.8333,0.1404,0.0,1.0,0.0,33.0,,,,,,0.05,True,,37
C_fairness,hounie_eta_0p05,dermmnist,MobileNetV3,L50_G30,hounie_rcl,3,4,loc_group,50,0.3431,0.2108,0.9216,223.0,0.7253,0.8417,0.1292,0.0,1.0,0.0,28.0,,,,,,0.05,True,,32
C_fairness,hounie_eta_0p05,dermmnist,MobileNetV3,L50_G30,hounie_rcl,1,4,loc_group,50,0.3443,0.2108,0.94,223.0,0.6941,0.8328,0.1383,0.0,1.0,0.0,32.0,,,,,,0.05,True,,36
C_fairness,hounie_eta_0p05,dermmnist,MobileNetV3,L50_G30,hounie_rcl,2,4,loc_group,50,0.2814,0.1659,0.925,223.0,0.7074,0.8337,0.1384,0.0,1.0,0.0,28.0,,,,,,0.05,True,,32
C_fairness,hounie_eta_0p05,octmnist,MobileNetV3,L30_G30,hounie_rcl,4,2,synth_group,50,0.2915,0.172,0.9556,250.0,0.6756,0.727,0.2366,0.0,1.0,0.0,31.0,,,,,,0.05,True,,35
C_fairness,hounie_eta_0p05,octmnist,MobileNetV3,L30_G30,hounie_rcl,3,2,synth_group,50,0.302,0.18,0.9375,250.0,0.6741,0.723,0.2404,0.0,1.0,0.0,32.0,,,,,,0.05,True,,36
C_fairness,hounie_eta_0p05,octmnist,MobileNetV3,L30_G30,hounie_rcl,1,2,synth_group,50,0.3067,0.184,0.92,250.0,0.6685,0.715,0.2419,0.0,1.0,0.0,31.0,,,,,,0.05,True,,35
C_fairness,hounie_eta_0p05,octmnist,MobileNetV3,L30_G30,hounie_rcl,2,2,synth_group,50,0.274,0.16,0.9524,250.0,0.6511,0.702,0.2482,0.0,1.0,0.0,30.0,,,,,,0.05,True,,34
C_fairness,hounie_eta_0p05,octmnist,MobileNetV3,L40_G40,hounie_rcl,4,2,synth_group,50,0.4037,0.26,0.9028,250.0,0.716,0.752,0.2112,0.0,1.0,0.0,25.0,,,,,,0.05,True,,29
C_fairness,hounie_eta_0p05,octmnist,MobileNetV3,L40_G40,hounie_rcl,3,2,synth_group,50,0.4343,0.284,0.9221,250.0,0.7192,0.751,0.2165,0.0,1.0,0.0,25.0,,,,,,0.05,True,,29
