Metric,Value
Overall Accuracy,0.7466
""
Macro Averaged Metrics,
Precision (Macro),0.7010
Recall (Macro),0.6367
F1-Score (Macro),0.6487
""
Weighted Averaged Metrics,
Precision (Weighted),0.7358
Recall (Weighted),0.7466
F1-Score (Weighted),0.7237
""
Per-Class Metrics,
Class,Precision,Recall,F1-Score,Support
Dropout,0.8624,0.6667,0.7520,141
Enrolled,0.5000,0.2750,0.3548,80
Graduate,0.7405,0.9683,0.8392,221
""
Confusion Matrix,
,Dropout,Enrolled,Graduate
Dropout,94,18,29
Enrolled,12,22,46
Graduate,3,4,214
